Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Whatachick'n Bites 4 Piece Kid's Meal,745,30,135,23,69,4,1130,50,880,5,0
Whatachick'n Bites 4 Piece Kid's Meal with Lower Calorie Sides,500,18,65,28,29,3,1070,65,540,5,0
Whatachick'n Strips 2 Piece Kid's Meal,747,34,142,20,69,4,1250,45,940,5,0
Whatachick'n Strips 2 Piece Kid's Meal with Lower Calorie Sides,501,22,71,25,29,3,1190,55,590,5,0
Apple & Cranberry Grilled Chicken Salad,342,12,38,33,24,12,780,110,380,7,0
Apple & Cranberry Salad,227,10,36,9,24,10,230,35,250,6,0
Apple & Cranberry Whatachick'n Salad,342,20,47,34,24,10,710,105,500,13,0
"French Fries, Large",170,28,70,7,1,6,350,0,560,4,0
"French Fries, Medium",128,21,52,5,1,4,260,0,420,3,0
"French Fries, Small",85,14,35,3,0,3,170,0,280,2,0
Garden Salad,224,9,9,9,3,9,250,30,160,6,0
Garden Salad with Grilled Chicken,339,12,12,33,3,10,810,110,290,7,0
Garden Salad with Whatachick'n,339,20,21,34,3,9,730,105,400,13,0
Large French Fry,170,28,70,7,1,6,350,0,560,4,0
Large Onion Rings,182,33,65,9,4,8,860,0,600,5,0
Medium French Fry,128,21,52,5,1,4,260,0,420,3,0
Medium Onion Rings,121,22,43,6,3,5,570,0,400,3,0
"Onion Rings, Large",136,25,49,7,3,6,650,0,450,4,0
"Onion Rings, Medium",91,17,32,4,2,4,430,0,300,3,0
Small French Fry,85,14,35,3,0,3,170,0,280,2,0
Hot Apple Pie,86,14,34,3,7,2,260,0,270,5,0
Hot Lemon Pie,91,16,41,4,12,3,230,0,320,5,0
Large White Bun,108,5,56,9,9,2,520,0,300,1,0
Texas Toast (2 Slices),80,2,42,6,4,0,440,0,220,0,0
Whole Grain Bun,91,4,44,10,10,7,290,0,220,1,0
