Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Buffalo Chicken - Large Original Pan™ Slice,148.6,14.0,40.0,15.0,2.0,2.0,850.0,30.0,350.0,5.0,0.0,0.7619047619047619,0.5714285714285715,1.0389610389610389,2.0238095238095237,0.28571428571428575
Cheese - Large Original Pan™ Slice,148.2,17.0,37.0,16.0,2.0,2.0,660.0,35.0,360.0,7.0,0.0,0.6851851851851852,0.6481481481481481,1.2265512265512266,1.5277777777777777,0.29629629629629634
Chicken-Bacon Parmesan - Large Original Pan™ Slice,158.8,20.0,35.0,18.0,2.0,2.0,680.0,40.0,390.0,7.0,0.0,0.5982905982905983,0.6837606837606838,1.332001332001332,1.4529914529914532,0.3076923076923077
Hawaiian Chicken - Large Original Pan™ Slice,165.9,14.0,38.0,17.0,3.0,2.0,720.0,35.0,350.0,5.0,0.0,0.7238095238095238,0.6666666666666667,1.0389610389610389,1.7142857142857142,0.3238095238095238
Meat Lover's® - Large Original Pan™ Slice,174.3,27.0,37.0,19.0,2.0,2.0,970.0,50.0,470.0,10.0,0.0,0.5248226950354611,0.7092198581560284,1.4921248963802156,1.7198581560283688,0.26950354609929084
Pepperoni - Large Original Pan™ Slice,140.9,18.0,36.0,15.0,2.0,2.0,680.0,35.0,370.0,6.0,0.0,0.6486486486486487,0.6306306306306307,1.2636012636012637,1.5315315315315317,0.2702702702702703
Pepperoni Lover's® - Large Original Pan™ Slice,163.7,24.0,37.0,19.0,2.0,3.0,850.0,50.0,440.0,9.0,0.5,0.5606060606060607,0.7575757575757576,1.4167650531286895,1.6098484848484849,0.2878787878787879
Supreme - Large Original Pan™ Slice,169.2,20.0,37.0,16.0,2.0,2.0,740.0,40.0,400.0,7.0,0.0,0.6166666666666667,0.6666666666666667,1.2987012987012987,1.5416666666666667,0.26666666666666666
Ultimate Cheese Lover's® - Large Original Pan™ Slice,148.3,20.0,36.0,17.0,2.0,2.0,670.0,40.0,390.0,8.0,0.0,0.6153846153846154,0.6837606837606838,1.332001332001332,1.4316239316239316,0.2905982905982906
Veggie Lover's® - Large Original Pan™ Slice,166.0,15.0,38.0,13.0,3.0,3.0,620.0,25.0,330.0,5.0,0.0,0.7676767676767677,0.5050505050505051,1.1806375442739079,1.5656565656565657,0.2626262626262626
Backyard BBQ Chicken - Large Hand Tossed Slice,132.8,10.0,40.0,14.0,7.0,2.0,530.0,30.0,300.0,4.5,0.0,0.888888888888889,0.6666666666666667,0.8658008658008658,1.4722222222222223,0.3111111111111111
Buffalo Chicken - Large Hand Tossed Slice,131.5,8.0,37.0,13.0,2.0,2.0,740.0,30.0,270.0,4.0,0.0,0.9135802469135803,0.7407407407407407,0.7696007696007696,2.283950617283951,0.3209876543209877
Cheese - Large Hand Tossed Slice,128.9,10.0,34.0,13.0,2.0,3.0,540.0,30.0,290.0,5.0,0.0,0.7816091954022989,0.6896551724137931,0.8956560680698612,1.5517241379310345,0.2988505747126437
Chicken-Bacon Parmesan - Large Hand Tossed Slice,141.7,13.0,33.0,16.0,1.0,2.0,560.0,35.0,310.0,5.0,0.0,0.7096774193548387,0.7526881720430108,1.0892333472978635,1.5053763440860215,0.34408602150537637
Hawaiian Chicken - Large Hand Tossed Slice,150.5,9.0,36.0,15.0,3.0,3.0,610.0,30.0,280.0,4.0,0.0,0.8571428571428571,0.7142857142857143,0.8348794063079776,1.8154761904761905,0.35714285714285715
Meat Lover's® - Large Hand Tossed Slice,157.4,21.0,34.0,17.0,2.0,3.0,860.0,50.0,390.0,8.0,0.0,0.5811965811965812,0.8547008547008547,1.3986013986013988,1.8376068376068377,0.2905982905982906
Pepperoni - Large Hand Tossed Slice,125.3,13.0,34.0,13.0,2.0,3.0,590.0,30.0,300.0,6.0,0.0,0.7555555555555555,0.6666666666666667,1.1255411255411256,1.6388888888888888,0.2888888888888889
Pepperoni Lover's® - Large Hand Tossed Slice,145.7,18.0,35.0,17.0,2.0,3.0,740.0,50.0,370.0,8.0,0.0,0.6306306306306307,0.900900900900901,1.2636012636012637,1.6666666666666667,0.30630630630630634
Supreme - Large Hand Tossed Slice,154.5,14.0,35.0,14.0,2.0,3.0,630.0,35.0,330.0,6.0,0.0,0.7070707070707071,0.7070707070707071,1.1019283746556474,1.590909090909091,0.2828282828282829
Ultimate Cheese Lover's® - Large Hand Tossed Slice,127.8,13.0,33.0,15.0,1.0,2.0,540.0,35.0,310.0,6.0,0.0,0.7096774193548387,0.7526881720430108,1.0892333472978635,1.4516129032258065,0.3225806451612903
Veggie Lover's® - Large Hand Tossed Slice,153.0,9.0,36.0,11.0,2.0,3.0,510.0,20.0,260.0,4.0,0.0,0.9230769230769231,0.5128205128205129,0.8991008991008992,1.6346153846153846,0.2820512820512821
Backyard BBQ Chicken - Large Thin 'N Crispy® Slice,118.7,9.0,35.0,14.0,9.0,2.0,590.0,35.0,280.0,4.5,0.0,0.8333333333333334,0.8333333333333334,0.8348794063079776,1.7559523809523812,0.33333333333333337
Buffalo Chicken - Large Thin 'N Crispy® Slice,118.4,8.0,33.0,13.0,4.0,2.0,810.0,30.0,250.0,4.0,0.0,0.8800000000000001,0.8,0.8311688311688312,2.7,0.3466666666666667
Cheese - Large Thin 'N Crispy® Slice,114.9,10.0,29.0,14.0,4.0,2.0,610.0,35.0,260.0,6.0,0.0,0.7435897435897436,0.8974358974358975,0.999000999000999,1.9551282051282053,0.35897435897435903
Chicken-Bacon Parmesan - Large Thin 'N Crispy® Slice,128.4,13.0,28.0,15.0,4.0,2.0,620.0,40.0,290.0,6.0,0.0,0.6436781609195402,0.9195402298850575,1.1643528884908194,1.7816091954022988,0.3448275862068966
Hawaiian Chicken - Large Thin 'N Crispy® Slice,137.3,8.0,31.0,14.0,6.0,2.0,670.0,35.0,250.0,4.0,0.0,0.8266666666666667,0.9333333333333335,0.8311688311688312,2.2333333333333334,0.37333333333333335
Meat Lover's® - Large Thin 'N Crispy® Slice,141.0,20.0,29.0,17.0,4.0,2.0,920.0,50.0,370.0,9.0,0.0,0.5225225225225226,0.900900900900901,1.4040014040014042,2.0720720720720722,0.30630630630630634
Pepperoni - Large Thin 'N Crispy® Slice,110.6,13.0,29.0,13.0,4.0,2.0,660.0,35.0,280.0,6.0,0.0,0.6904761904761906,0.8333333333333334,1.2059369202226344,1.9642857142857144,0.30952380952380953
