Item 1,Item 2,Item 3,Metric,Price
Grande Sausage Breakfast Burrito without Salsa,Halfsies (in Munchie Meal),Chicken Sandwich,9.43355,9.670000000000002
Kids Chicken Sandwich,Halfsies (in Munchie Meal),Grande Sausage Breakfast Burrito with Salsa,9.43997,9.67
Halfsies (in Munchie Meal),Grande Sausage Breakfast Burrito without Salsa,Stuffed Jalapenos (7 pc.),9.48856,12.57
Halfsies (in Munchie Meal),Stuffed Jalapenos (7 pc.),Grande Sausage Breakfast Burrito with Salsa,9.49497,12.57
Bacon Cheddar Potato Wedges,Kids Crispy Chicken Strips,Grande Sausage Breakfast Burrito without Salsa,9.55307,11.17
Kids Crispy Chicken Strips,Grande Sausage Breakfast Burrito with Salsa,Bacon Cheddar Potato Wedges,9.55948,11.17
Grande Sausage Breakfast Burrito without Salsa,Spicy Chicken Biscuit,Fish Sandwich,9.60986,9.27
Fish Sandwich,Grande Sausage Breakfast Burrito with Salsa,Spicy Chicken Biscuit,9.61627,9.27
Grande Sausage Breakfast Burrito without Salsa,Chicken Club Salad with Crispy Chicken,Halfsies (in Munchie Meal),9.65985,13.870000000000001
Classic Buttery Jack,Double Jack,Southwest Chicken Salad with Grilled Chicken,9.66493,12.870000000000001
Chicken Club Salad with Crispy Chicken,Grande Sausage Breakfast Burrito with Salsa,Halfsies (in Munchie Meal),9.66626,13.870000000000001
Sourdough Jack,Bacon Ultimate Cheeseburger,Chicken Club Salad with Grilled Chicken,9.66762,15.270000000000001
Grande Sausage Breakfast Burrito without Salsa,Sourdough Jack,Homestyle Potatoes,9.69428,13.07
Grande Sausage Breakfast Burrito without Salsa,Mini Churros (10 pc.),Monster Taco,9.70058,6.67
Homestyle Potatoes,Grande Sausage Breakfast Burrito with Salsa,Sourdough Jack,9.70069,13.07
Grande Sausage Breakfast Burrito with Salsa,Monster Taco,Mini Churros (10 pc.),9.70699,6.67
Panko Onion Rings,Jack's Deals Jumbo Jack,Grande Sausage Breakfast Burrito without Salsa,9.71022,8.27
Grande Sausage Breakfast Burrito with Salsa,Panko Onion Rings,Jack's Deals Jumbo Jack,9.71663,8.27
Fish Sandwich,Grande Sausage Breakfast Burrito without Salsa,Jack's Spicy Chicken,9.71895,9.27
Jack's Spicy Chicken,Grande Sausage Breakfast Burrito with Salsa,Fish Sandwich,9.72536,9.27
Grande Sausage Breakfast Burrito without Salsa,Jack's Spicy Chicken with Cheese,Kids Grilled Cheese Sandwich,9.73026,11.67
Jack's Deals Grilled Cheese Sandwich,Jack's Spicy Chicken with Cheese,Grande Sausage Breakfast Burrito with Salsa,9.73667,12.47
Bacon Ultimate Cheeseburger,Classic Buttery Jack,"Better for You, Grilled Chicken Salad",9.75319,15.37
Jumbo Jack,Grande Sausage Breakfast Burrito without Salsa,Egg Roll (3 pc.),9.80428,10.07
Jumbo Jack,Grande Sausage Breakfast Burrito with Salsa,Egg Roll (3 pc.),9.81069,10.07
Chicken Teriyaki Bowl,Jack's Deals Chicken Sandwich,Brunch Burger,9.8242,8.27
"Better for You, Chicken Teriyaki Bowl",Chicken Teriyaki Bowl,Jumbo Breakfast Platter with Sausage,9.82424,13.870000000000001
Bacon Cheddar Potato Wedges,Spicy Chicken Biscuit,Brunch Burger,9.84067,9.969999999999999
Spicy Sriracha Burger,Grande Sausage Breakfast Burrito without Salsa,"Seasoned Curly Fries, Small",9.85003,10.07
Spicy Sriracha Burger,"Seasoned Curly Fries, Small",Grande Sausage Breakfast Burrito with Salsa,9.85644,10.07
Grande Sausage Breakfast Burrito without Salsa,Jack's Spicy Chicken with Cheese,Nacho Monster Taco,9.87928,9.67
Grande Sausage Breakfast Burrito with Salsa,Jack's Spicy Chicken with Cheese,Nacho Monster Taco,9.88569,9.67
Jack's Spicy Chicken,Bacon Cheddar Potato Wedges,Brunch Burger,9.94976,9.969999999999999
Brunch Burger,Spicy Sriracha Burger,"French Fries, Large",9.96641,9.27
Southwest Chicken Salad with Crispy Chicken,Grande Sausage Breakfast Burrito without Salsa,Jack's Deals Jr. Jumbo Jack Cheeseburger,9.99467,12.07
