Item 1,Item 2,Item 3,Metric,Price
"Cream of Chicken & Wild Rice Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",Chocolate Chip Muffie,6.49754,12.17
"Vegetarian Creamy Tomato Soup, Bread Bowl",Superfruit Smoothie with Greek yogurt,"Steak & White Cheddar Panini on Artisan Ciabatta, Whole",6.49874,18.369999999999997
"Mac & Cheese, Large",French Baguette,"Broccoli Cheddar Soup, Bread Bowl",6.50394,16.27
"Bistro French Onion Soup, Bread Bowl","Vegetarian Creamy Tomato Soup, Bread Bowl","Fuji Apple Salad with Chicken, Half",6.50567,16.57
Apple Crunch Muffin,Cinnamon Swirl & Raisin Bagel,"BBQ Chicken Mac & Cheese, Bread Bowl",6.50668,9.52
"The Italian on Artisan Ciabatta, Whole","Low-Fat Chicken Noodle Soup, Bread Bowl",Soba Noodle Bowl with Edamame Blend,6.5086,21.769999999999996
"Low-Fat Chicken Noodle Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",Lentil Quinoa Broth Bowl with Chicken,6.51148,19.27
"Heritage Ham & Swiss Sandwich on Whole Grain, Whole",Sprouted Whole Grain Roll,"BBQ Chicken Mac & Cheese, Bread Bowl",6.51582,13.370000000000001
"Steak & Arugula on Sourdough, Half","Vegetarian Creamy Tomato Soup, Bread Bowl","Baked Potato Soup, Bread Bowl",6.51708,17.169999999999998
"Steak & White Cheddar Panini on Artisan Ciabatta, Whole",Strawberry Banana Smoothie,"Cream of Chicken & Wild Rice Soup, Bread Bowl",6.51791,18.369999999999997
Pecan Roll,Chocolate Chip Bagel,"Broccoli Cheddar Soup, Bread Bowl",6.51975,9.32
"New England Clam Chowder, Bread Bowl","Steel Cut Oatmeal with Almonds, Quinoa & Honey","Tuna Salad Sandwich on Black Pepper Focaccia, Whole",6.52184,15.870000000000001
Sourdough Bread Bowl,Lemon Drop Cookie,"Baked Potato Soup, Bread Bowl",6.52208,9.77
"Mac & Cheese, Bread Bowl",Pumpkin Muffin,Strawberry Smoothie,6.52305,11.969999999999999
Soba Noodle Bowl with Chicken,"Low-Fat Chicken Noodle Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",6.52903,19.27
