Item 1,Item 2,Item 3,Metric,Price
Biscuit 'N' Gravy (California only),The 1/2 lb. Jalapeno Thickburger,Biscuit 'N' Gravy (California only),7.67978,14.170000000000002
Made From Scratch Biscuit (California only),The 1/2 lb. Mile High Bacon Thickburger,Big Hamburger,7.67991,12.770000000000001
"Chicken Stars, 4 Pieces","Super Nachos, Chicken","Super Nachos, Steak",7.68413,10.57
"Natural-Cut Fries, Medium","Super Nachos, Steak","Quesadilla, Steak",7.6852,7.2700000000000005
Single All-Natural Burger,Bacon Swiss Crispy Chicken Sandwich,"Natural-Cut Fries, Large",7.69198,12.729999999999999
Kid's Hamburger,"Super Nachos, Chicken",The 1/3 lb. Original Six Dollar Thickburger,7.69212,9.370000000000001
Teriyaki Turkey Burger,Double Western Bacon Cheeseburger,Onion Rings,7.69376,6.869999999999999
"Beef, Bean & Cheese Burrito",The 1/2 lb. Jalapeno Thickburger,"Natural-Cut Fries, Medium",7.69421,11.07
"Taco Salad, Chicken",Big Chicken Fillet Sandwich,Beer-Battered Cod Fish Sandwich,7.69462,10.17
Kid's Hamburger,"Super Nachos, Ground Beef",Single All-Natural Burger,7.69649,9.77
"Burrito Especial, Steak","Super Nachos, Chicken","Burrito Mexicano, Steak",7.69716,8.870000000000001
Chips,Vanilla Malt,"Super Nachos, Steak",7.69927,6.47
CrissCut Fries,Biscuit 'N' Gravy (California only),The 1/2 lb. Jalapeno Thickburger,7.70172,12.170000000000002
Bacon Swiss Crispy Chicken Sandwich,Bacon Swiss Crispy Chicken Sandwich,Bean & Cheese Burrito,7.70366,14.39
"Taco Salad, Chicken",Bacon Swiss Crispy Chicken Sandwich,Biscuit 'N' Gravy (California only),7.70662,11.629999999999999
Strawberry Malt,"Super Nachos, Steak",Chips,7.71568,6.470000000000001
"Beef, Bean & Cheese Burrito","Super Nachos, Ground Beef",Charbroiled Santa Fe Chicken Sandwich,7.7187,11.870000000000001
"Natural-Cut Fries, Large","Super Nachos, Steak","Quesadilla, Chicken",7.71898,8.47
"Natural-Cut Fries, Small",The 1/3 lb. Western Bacon Thickburger,The 1/3 lb. Original Six Dollar Thickburger,7.72062,11.67
Super Star with Cheese,Onion Rings,"Burrito Mexicano, Steak",7.72297,9.370000000000001
CrissCut Fries,The 1/2 lb. Jalapeno Thickburger,CrissCut Fries,7.72365,10.17
Chips,"Super Nachos, Steak",Chocolate Malt,7.72434,5.67
"Super Nachos, Ground Beef","Burrito Mexicano, Steak",Spicy Chicken Sandwich,7.7247,11.629999999999999
Fried Zucchini,The 1/3 lb. Guacamole Bacon Thickburger,Big Chicken Fillet Sandwich,7.72599,15.17
Vanilla Shake,"Super Nachos, Ground Beef",Fried Zucchini,7.72709,11.57
Bacon Swiss Crispy Chicken Sandwich,"Taco Salad, Chicken",CrissCut Fries,7.72855,9.629999999999999
Western Bacon Cheeseburger,Western Bacon Cheeseburger,"Burrito Mexicano, Steak",7.73387,15.969999999999999
Fried Zucchini,"Super Nachos, Ground Beef",Strawberry Shake,7.73562,10.57
"Natural-Cut Fries, Kids","Taco Salad, Chicken",The 1/3 lb. Guacamole Bacon Thickburger,7.73661,9.17
Garden Side Salad (add dressing),The Big Carl,"Super Nachos, Ground Beef",7.73717,8.969999999999999
"Super Nachos, Ground Beef",Chocolate Shake,Fried Zucchini,7.74515,9.469999999999999
"Burrito Mexicano, Steak","Burrito Especial, Chicken","Super Nachos, Steak",7.74543,11.370000000000001
The 1/3 lb. Jalapeno Thickburger,Bean & Cheese Burrito,Big Chicken Fillet Sandwich,7.74714,12.469999999999999
Made From Scratch Biscuit (California only),The 1/3 lb. Jalapeno Thickburger,The 1/3 lb. Original Six Dollar Thickburger,7.75056,14.17
Western Bacon Cheeseburger,Chocolate Chip Cookie,"Super Nachos, Chicken",7.75067,10.77
Teriyaki Turkey Burger,The 1/3 lb. Guacamole Bacon Thickburger,Onion Rings,7.75734,9.67
Famous Star with Cheese,"Hash Brown Nuggets, Large","Taco Salad, Chicken",7.75788,6.67
Made From Scratch Biscuit (outside California),"Beef, Bean & Cheese Burrito",The 1/2 lb. Mile High Bacon Thickburger,7.759,14.57
"Taco Salad, Chicken","Natural-Cut Fries, Large",Vanilla Malt,7.76145,5.77
Bacon Swiss Crispy Chicken Sandwich,Made From Scratch Biscuit (California only),Super Star with Cheese,7.76305,14.93
"Taco Salad, Chicken",Super Star with Cheese,Made From Scratch Biscuit (outside California),7.76413,11.27
The 1/3 lb. Western Bacon Thickburger,Biscuit 'N' Gravy (outside California),Famous Star with Cheese,7.7692,12.27
"Hash Brown Nuggets, Small",The 1/3 lb. Western Bacon Thickburger,Bacon Swiss Crispy Chicken Sandwich,7.77218,12.23
"Beef, Bean & Cheese Burrito","Taco Salad, Ground Beef",Big Chicken Fillet Sandwich,7.77349,9.77
"Burrito Especial, Steak",Biscuit 'N' Gravy (California only),Double Western Bacon Cheeseburger,7.77578,9.47
Charbroiled Chicken Club Sandwich,Double Western Bacon Cheeseburger,"Natural-Cut Fries, Medium",7.77669,9.77
"Taco Salad, Chicken","Natural-Cut Fries, Large",Strawberry Malt,7.77786,5.77
Big Chicken Fillet Sandwich,Made From Scratch Biscuit (California only),Double All-Natural Burger,7.77814,17.57
"Natural-Cut Fries, Large",Chocolate Malt,"Taco Salad, Chicken",7.78652,4.97
Beer-Battered Cod Fish Sandwich,"Hash Brown Nuggets, Small",The 1/2 lb. Jalapeno Thickburger,7.78754,10.870000000000001
"Super Nachos, Chicken",Kid's Cheeseburger,"Taco Salad, Chicken",7.79144,6.97
