Item 1,Item 2,Item 3,Metric,Price
Large White Bun,"Whatachick'n Strips, 3 Piece",Chicken Fajita Taco Whatameal,6.67282,11.97
Monterey Melt Jr. Whatameal with Lower Calorie Sides,Sweet & Spicy Bacon Burger Jr. Whatameal,Texas Toast (2 Slices),6.67381,13.03
Grilled Cheese Kid's Meal,"Onion Rings, Medium",Whataburger Whatameal with Lower Calorie Sides,6.67382,10.870000000000001
Jalapeno & Cheese Whataburger,"Onion Rings, Large",Pancake Platter with Bacon Whatameal,6.6751,10.870000000000001
Chop House Cheddar Burger Jr. Whatameal with Lower Calorie Sides,Sweet & Spicy Bacon Burger Jr. Whatameal,Texas Toast (2 Slices),6.68531,13.03
Justaburger Kid's Meal,Whatachick'n Bites 4 Piece Kid's Meal with Lower Calorie Sides,Large Onion Rings,6.68586,12.57
Pancake Platter with Bacon,Whole Grain Bun,Chop House Cheddar Burger,6.68668,11.52
Biscuit with Bacon,Whatachick'n Sandwich Whatameal,Kids Justaburger,6.69835,12.22
Sweet & Spicy Bacon Burger Jr. Whatameal,"French Fries, Large",Kids Justaburger,6.69913,10.52
Medium French Fry,Pancake Platter with Bacon,Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,6.7017,12.969999999999999
Biscuit with Bacon,Whatachick'n Sandwich Whatameal,"Onion Rings, Medium",6.70672,11.120000000000001
"Whatachick'n Bites, 6 Piece Whatameal",Biscuit with Bacon,Hot Apple Pie,6.70749,7.37
Sweet & Spicy Bacon Burger Jr. Whatameal,"French Fries, Large","Onion Rings, Medium",6.7075,9.42
"French Fries, Large",Honey BBQ Chicken Strip Sandwich Jr.,Justaburger Kid's Meal,6.70793,10.67
Medium Onion Rings,Biscuit with Bacon,Grilled Chicken Sandwich Whatameal,6.70845,11.42
Pancakes,Whataburger,Bacon & Cheese Whataburger Whatameal with Lower Calorie Sides,6.71026,12.32
Biscuit,Pancakes,Triple Meat Whataburger,6.71276,9.67
Cinnamon Roll,Chicken Fajita Taco Whatameal,Medium Onion Rings,6.71656,17.919999999999998
"Onion Rings, Large",Double Meat Whataburger Jr. Whatameal,Whataburger,6.7172,8.57
Monterey Melt Jr. Whatameal,Hot Apple Pie,Kids Justaburger,6.71928,11.569999999999999
Hot Apple Pie,Chop House Cheddar Burger Jr. Whatameal,Kids Justaburger,6.72443,9.57
"Onion Rings, Medium",Monterey Melt Jr. Whatameal,Hot Apple Pie,6.72765,10.47
Biscuit,Green Chile Double Jr. Whatameal,Biscuit with Bacon,6.72935,10.52
Whataburger Jr.,Cinnamon Roll,Grilled Chicken Sandwich Whatameal,6.72962,17.72
Pancake Platter with Sausage,Whatachick'n Sandwich,Pancakes,6.73042,10.02
Hot Apple Pie,Chop House Cheddar Burger Jr. Whatameal,"Onion Rings, Medium",6.7328,8.469999999999999
Grilled Cheese Kid's Meal with Lower Calorie Sides,Whataburger Jr.,Double Meat Whataburger Jr. Whatameal,6.74025,11.77
Whataburger Jr. Whatameal,Small French Fry,Double Meat Whataburger Whatameal with Lower Calorie Sides,6.75213,9.92
Double Meat Whataburger Jr. Whatameal,Jalapeno Cheddar Biscuit and Gravy Whatameal,Biscuit and Jelly,6.7538,8.67
Whataburger Jr. Whatameal,Bacon & Cheese Whataburger,Medium Onion Rings,6.75393,11.52
Biscuit and Gravy Whatameal,Pancake Platter with Sausage Whatameal,Kids Justaburger,6.75556,11.319999999999999
Biscuit and Gravy Whatameal,Chop House Cheddar Burger,Texas Toast (2 Slices),6.75733,9.53
Whatachick'n Bites 4 Piece Kid's Meal,Large White Bun,Avocado Bacon Burger,6.75781,6.38
Pancake Platter with Sausage Whatameal,Whataburger Whatameal with Lower Calorie Sides,Biscuit with Bacon,6.75818,12.57
Biscuit and Gravy Whatameal,Pancake Platter with Sausage Whatameal,"Onion Rings, Medium",6.76393,10.219999999999999
"Whatachick'n Strips, 3 Piece",Pancakes,Pancake Platter with Sausage,6.77028,9.97
"French Fries, Small",Monterey Melt,Pancakes,6.77049,9.52
Whataburger Jr. Whatameal with Lower Calorie Sides,Green Chile Double Whatameal with Lower Calorie Sides,Pancakes,6.77057,10.42
Whataburger Jr. Whatameal with Lower Calorie Sides,Pancake Platter with Bacon Whatameal,Bacon & Cheese Whataburger Whatameal with Lower Calorie Sides,6.7736,15.370000000000001
Texas Toast (2 Slices),"Whatachick'n Bites, 9 Piece",Sweet & Spicy Bacon Burger Jr. Whatameal,6.77405,10.63
Honey BBQ Chicken Strip Sandwich Jr. Whatameal,Whole Grain Bun,"Whatachick'n Strips, 2 Piece",6.77435,13.82
Grilled Cheese Kid's Meal,Large Onion Rings,Jalapeno Cheddar Biscuit,6.77529,8.57
Justaburger Kid's Meal with Lower Calorie Sides,Biscuit with Bacon,Sweet & Spicy Bacon Burger Jr. Whatameal,6.77707,13.62
Grilled Chicken Melt,Texas Toast (2 Slices),"Whatachick'n Bites, 6 Piece Whatameal",6.77822,8.18
Whataburger Jr. Whatameal,Small French Fry,Honey BBQ Chicken Strip Sandwich,6.7791,11.82
Pancake Platter with Bacon Whatameal,Whatachick'n Sandwich Whatameal with Lower Calorie Sides,Large French Fry,6.77997,12.719999999999999
Jalapeno Cheddar Biscuit,Small French Fry,"Whatachick'n Bites, 6 Piece Whatameal",6.78066,8.469999999999999
Jalapeno Cheddar Biscuit and Gravy Whatameal,Cinnamon Roll,Justaburger Kid's Meal,6.78584,15.269999999999998
Whataburger Jr. Whatameal,Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,Cinnamon Roll,6.79124,19.72
Grilled Chicken Melt Whatameal,Whataburger Jr. Whatameal with Lower Calorie Sides,Cinnamon Roll,6.79143,20.119999999999997
Pancakes,Whatachick'n Strips 2 Piece Kid's Meal with Lower Calorie Sides,Bacon & Cheese Whataburger Whatameal with Lower Calorie Sides,6.79288,15.219999999999999
Pancakes,Sweet & Spicy Bacon Burger,Biscuit,6.79365,8.969999999999999
Jalapeno Cheddar Biscuit,Whataburger Jr.,Whatachick'n Sandwich Whatameal,6.79866,11.22
Whatachick'n Strips 2 Piece Kid's Meal with Lower Calorie Sides,"Onion Rings, Large",Double Meat Whataburger Jr. Whatameal,6.79982,11.47
Pancake Platter with Bacon Whatameal,Kids Justaburger,Double Meat Whataburger,6.80138,12.17
Jalapeno Cheddar Biscuit and Gravy Whatameal,Pancake Platter with Sausage,"Onion Rings, Large",6.80487,8.67
Double Meat Whataburger Whatameal with Lower Calorie Sides,Justaburger Kid's Meal,Hot Apple Pie,6.80565,7.67
Grilled Cheese Kid's Meal,Whataburger,Biscuit with Bacon,6.80669,9.27
Pancake Platter with Bacon Whatameal,Whataburger,Whatachick'n Bites 4 Piece Kid's Meal with Lower Calorie Sides,6.80933,14.469999999999999
Double Meat Whataburger,Whataburger Jr.,Justaburger Kid's Meal,6.80962,9.969999999999999
