Item 1,Item 2,Item 3,Metric,Price
Rodeo King Sandwich,Value Menu Rodeo Burger,Sausage Biscuit,8.60684,5.99
Extra Long Cheeseburger,Chocolate Oreo Shake,Extra Long Cheeseburger,8.61262,4.98
Value Menu Cheeseburger,Triple Whopper Sandwich with Cheese,"Onion Rings, Large",8.62133,10.27
BBQ Bacon Whopper Sandwich,Double Whopper Sandwich with Cheese,"French Fries, Value (Salted)",8.62214,10.670000000000002
Whopper Sandwich with Cheese,Froot Loops Shake,"Club Salad with Crispy Chicken, No Dressing",8.62574,8.39
Cheesy Tots,Bacon & Cheese Whopper Sandwich,Double Quarter Pound King Sandwich,8.62596,10.68
Value Menu Spicy Crispy Chicken Jr.,Triple Whopper Sandwich with Cheese,Spicy Crispy Chicken Jr.,8.63687,8.39
Bacon King Sandwich,"French Fries, Value (Salted)",Extra Long Cheeseburger,8.63955,6.87
"Club Salad with Crispy Chicken, No Dressing","Hash Browns, Large",Bacon & Cheese Whopper Sandwich,8.64898,8.08
"Chicken Nuggets, 20 Piece",Bacon Double Cheeseburger,Froot Loops Shake,8.65642,8.280000000000001
Whopper Sandwich with Cheese,Oreo Shake,"Club Salad with Crispy Chicken, No Dressing",8.65989,9.08
Oreo Shake,"Chicken Nuggets, 20 Piece",Value Menu Bacon Double Cheeseburger,8.69057,8.969999999999999
Dutch Apple Pie,"Garden Chicken Salad with Crispy Chicken, No Dressing",Triple Whopper Sandwich with Cheese,8.70045,14.07
"Chicken Nuggets, 20 Piece",White Chocolate Macadamia Nut Cookies,BBQ Bacon Whopper Sandwich,8.70243,10.98
Rodeo King Sandwich,Cheesy Tots,"Club Salad with Grilled Chicken, No Dressing",8.70489,11.18
Hershey's Chocolate Sundae,Whopper Sandwich with Cheese,Double Whopper Sandwich with Cheese,8.70861,13.370000000000001
Original Chicken Sandwich,Bacon King Sandwich,Kids Soft Serve Cone,8.71601,9.08
Bacon King Sandwich,"Garden Chicken Salad with Crispy Chicken, No Dressing","Onion Rings, Medium",8.73369,12.37
Spicy Crispy Chicken Sandwich,"Chicken Nuggets, 20 Piece","Garden Chicken Salad with Crispy Chicken, No Dressing",8.73546,12.18
Pancake and Sausage Platter,Rodeo Crispy Chicken Sandwich,"Chicken Nuggets, 10 Piece",8.73598,7.68
Double Quarter Pound King Sandwich,"Hash Browns, Large","Chicken Nuggets, 10 Piece",8.73914,9.370000000000001
BBQ Bacon Whopper Sandwich,Double Quarter Pound King Sandwich,Kids PB&J Jamwich,8.74216,12.47
Double Whopper Sandwich with Cheese,Chicken Fries,Chocolate Oreo Shake,8.74237,10.280000000000001
Chicken Fries,"Chicken Nuggets, 20 Piece","Chicken Nuggets, 20 Piece",8.75302,12.97
Chocolate Chip Cookies,Triple Whopper Sandwich with Cheese,Crispy Chicken Jr.,8.763,9.39
Kids Hamburger,Rodeo Crispy Chicken Sandwich,BBQ Bacon Whopper Sandwich,8.76842,5.99
Chocolate Oreo Shake,Double Whopper Sandwich with Cheese,Cheeseburger,8.77607,8.29
"Onion Rings, Large",Bacon King Sandwich,Double Hamburger,8.77608,8.07
Value Menu Double Cheeseburger,BK Veggie Burger,Triple Whopper Sandwich with Cheese,8.78073,11.969999999999999
"Chicken Nuggets, 20 Piece","Chicken Nuggets, 20 Piece",Value Menu Cheeseburger,8.78673,11.47
Triple Whopper Sandwich with Cheese,"Hash Browns, Medium",Chicken Fries,8.78988,11.07
Double Hamburger,"French Fries, Large (Salted)",Triple Whopper Sandwich with Cheese,8.79137,10.469999999999999
Triple Whopper Sandwich with Cheese,Value Menu Rodeo Burger,Crispy Chicken Jr.,8.8055,8.39
Cheeseburger,"Hash Browns, Medium",Triple Whopper Sandwich with Cheese,8.82358,9.08
BK Ultimate Breakfast Platter,Spicy Crispy Chicken Jr.,"French Toast Sticks, 5 Piece",8.83296,8.08
"French Fries, Medium (Salted)",Value Menu Spicy Crispy Chicken Jr.,BK Ultimate Breakfast Platter,8.83478,8.08
Triple Whopper Sandwich with Cheese,Hershey's Sundae Pie,Grilled Chicken Sandwich,8.85314,12.17
Grilled Chicken Sandwich,Oatmeal Raisin Cookies,Triple Whopper Sandwich with Cheese,8.86654,12.48
Oreo Cookie Cheesecake,Crispy Chicken Sandwich,Double Whopper Sandwich with Cheese,8.87014,11.280000000000001
Oreo Cookie Cheesecake,Bacon & Cheese Whopper Sandwich,"Chicken Nuggets, 20 Piece",8.87028,11.18
"Garden Chicken Salad with Crispy Chicken, No Dressing",Hershey's Sundae Pie,Rodeo King Sandwich,8.8756,11.870000000000001
Whopper Sandwich,Bacon King Sandwich,Soft Serve Cone,8.87762,9.18
Value Menu Bacon Double Cheeseburger,"French Fries, Large (Salted)",Bacon King Sandwich,8.87896,8.67
Double Hamburger,"Hash Browns, Large",Double Whopper Sandwich with Cheese,8.87983,8.870000000000001
Oatmeal Raisin Cookies,"Garden Chicken Salad with Crispy Chicken, No Dressing",Rodeo King Sandwich,8.88901,12.180000000000001
Bacon & Cheese Crispy Chicken Sandwich,Original Chicken Sandwich,"Club Salad with Crispy Chicken, No Dressing",8.89778,10.08
BK Ultimate Breakfast Platter,"French Fries, Large (Salted)",White Chocolate Macadamia Nut Cookies,8.90698,9.28
"Garden Chicken Salad with Grilled Chicken, No Dressing",Rodeo King Sandwich,"Onion Rings, Medium",8.91115,12.37
"French Fries, Small (Salted)",Crispy Chicken Jr.,BK Ultimate Breakfast Platter,8.93184,7.68
Rodeo King Sandwich,Soft Serve Cup,Single Quarter Pound King Sandwich,8.93728,8.98
