Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Breakfast Jack,132.0,18.0,30.0,16.0,4.0,1.0,840.0,240.0,350.0,6.0,0.0,0.5714285714285715,4.571428571428572,1.3358070500927643,2.0,1.8285714285714285,1.59,1.7142857142857144
Extreme Sausage Sandwich,192.0,49.0,29.0,25.0,3.0,1.0,1140.0,295.0,650.0,16.0,0.5,0.29743589743589743,3.0256410256410255,1.958041958041958,1.4615384615384617,1.5384615384615385,3.29,2.4615384615384617
Grande Sausage Breakfast Burrito without Salsa,358.0,70.0,67.0,35.0,4.0,4.0,2010.0,390.0,1040.0,20.0,0.5,0.42948717948717946,2.5,1.7482517482517481,1.6105769230769231,1.346153846153846,3.39,1.9230769230769231
Grande Sausage Breakfast Burrito with Salsa,381.0,70.0,68.0,36.0,5.0,5.0,2130.0,390.0,1040.0,20.0,0.5,0.43589743589743596,2.5,1.7482517482517481,1.7067307692307692,1.3846153846153846,3.39,1.9230769230769231
Grilled Breakfast Sandwich,253.0,29.0,53.0,36.0,4.0,4.0,1810.0,490.0,620.0,10.0,0.0,0.5698924731182796,5.268817204301075,1.2149141181399246,2.4327956989247315,2.3225806451612905,3.69,1.6129032258064515
Jumbo Breakfast Platter with Bacon,247.0,29.0,47.0,23.0,7.0,3.0,1390.0,345.0,540.0,6.0,0.0,0.5802469135802469,4.2592592592592595,1.3949013949013949,2.1450617283950617,1.7037037037037037,4.49,1.1111111111111112
Jumbo Breakfast Platter with Sausage,267.0,39.0,47.0,21.0,7.0,3.0,1250.0,360.0,620.0,9.0,0.0,0.5053763440860215,3.8709677419354844,1.633850020946795,1.6801075268817205,1.3548387096774195,4.49,1.4516129032258065
Loaded Breakfast Sandwich,242.0,47.0,36.0,36.0,4.0,2.0,1690.0,515.0,710.0,16.0,0.0,0.33802816901408456,4.835680751173709,1.71940735321017,1.983568075117371,2.028169014084507,3.69,2.2535211267605635
Meat Lovers Breakfast Burrito without Salsa,292.0,50.0,48.0,39.0,3.0,2.0,1590.0,410.0,780.0,21.0,0.5,0.4102564102564103,3.5042735042735047,1.6650016650016648,1.6987179487179487,2.0,3.39,2.6923076923076925
Meat Lovers Breakfast Burrito with Salsa,316.0,50.0,50.0,39.0,4.0,3.0,1710.0,410.0,790.0,21.0,0.5,0.42194092827004226,3.459915611814346,1.643925694558606,1.8037974683544304,1.9746835443037973,3.39,2.6582278481012658
Mini Pancakes,71.0,1.5,28.0,4.0,6.0,1.0,350.0,0.0,140.0,0.0,0.0,1.3333333333333335,0.0,0.2782931354359926,2.0833333333333335,1.1428571428571428,1.00,0.0
"Sausage, Egg & Cheese Biscuit",158.0,38.0,27.0,18.0,3.0,2.0,1240.0,265.0,530.0,16.0,0.0,0.339622641509434,3.3333333333333335,1.8622886547414848,1.949685534591195,1.3584905660377358,2.99,3.018867924528302
Sausage Biscuit,107.0,29.0,26.0,11.0,3.0,2.0,960.0,30.0,430.0,12.0,0.0,0.40310077519379844,0.46511627906976744,1.7517366354575659,1.8604651162790697,1.0232558139534884,2.99,2.7906976744186047
