Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Meat Lover's® - Large Hand Tossed Slice,157.4,21.0,34.0,17.0,2.0,3.0,860.0,50.0,390.0,8.0,0.0,0.5811965811965812,0.8547008547008547,1.3986013986013988,1.8376068376068377,1.7435897435897436,12.49,2.051282051282051
Pepperoni - Large Hand Tossed Slice,125.3,13.0,34.0,13.0,2.0,3.0,590.0,30.0,300.0,6.0,0.0,0.7555555555555555,0.6666666666666667,1.1255411255411256,1.6388888888888888,1.7333333333333334,12.49,2.0
Pepperoni Lover's® - Large Hand Tossed Slice,145.7,18.0,35.0,17.0,2.0,3.0,740.0,50.0,370.0,8.0,0.0,0.6306306306306307,0.900900900900901,1.2636012636012637,1.6666666666666667,1.837837837837838,12.49,2.1621621621621623
Supreme - Large Hand Tossed Slice,154.5,14.0,35.0,14.0,2.0,3.0,630.0,35.0,330.0,6.0,0.0,0.7070707070707071,0.7070707070707071,1.1019283746556474,1.590909090909091,1.696969696969697,12.49,1.8181818181818181
Ultimate Cheese Lover's® - Large Hand Tossed Slice,127.8,13.0,33.0,15.0,1.0,2.0,540.0,35.0,310.0,6.0,0.0,0.7096774193548387,0.7526881720430108,1.0892333472978635,1.4516129032258065,1.935483870967742,12.49,1.935483870967742
Veggie Lover's® - Large Hand Tossed Slice,153.0,9.0,36.0,11.0,2.0,3.0,510.0,20.0,260.0,4.0,0.0,0.9230769230769231,0.5128205128205129,0.8991008991008992,1.6346153846153846,1.6923076923076925,12.49,1.5384615384615385
Backyard BBQ Chicken - Large Thin 'N Crispy® Slice,118.7,9.0,35.0,14.0,9.0,2.0,590.0,35.0,280.0,4.5,0.0,0.8333333333333334,0.8333333333333334,0.8348794063079776,1.7559523809523812,2.0,15.49,1.607142857142857
Buffalo Chicken - Large Thin 'N Crispy® Slice,118.4,8.0,33.0,13.0,4.0,2.0,810.0,30.0,250.0,4.0,0.0,0.8800000000000001,0.8,0.8311688311688312,2.7,2.08,16.49,1.6
Cheese - Large Thin 'N Crispy® Slice,114.9,10.0,29.0,14.0,4.0,2.0,610.0,35.0,260.0,6.0,0.0,0.7435897435897436,0.8974358974358975,0.999000999000999,1.9551282051282053,2.153846153846154,15.49,2.307692307692308
Chicken-Bacon Parmesan - Large Thin 'N Crispy® Slice,128.4,13.0,28.0,15.0,4.0,2.0,620.0,40.0,290.0,6.0,0.0,0.6436781609195402,0.9195402298850575,1.1643528884908194,1.7816091954022988,2.0689655172413794,16.49,2.0689655172413794
Hawaiian Chicken - Large Thin 'N Crispy® Slice,137.3,8.0,31.0,14.0,6.0,2.0,670.0,35.0,250.0,4.0,0.0,0.8266666666666667,0.9333333333333335,0.8311688311688312,2.2333333333333334,2.24,15.49,1.6
Meat Lover's® - Large Thin 'N Crispy® Slice,141.0,20.0,29.0,17.0,4.0,2.0,920.0,50.0,370.0,9.0,0.0,0.5225225225225226,0.900900900900901,1.4040014040014042,2.0720720720720722,1.837837837837838,15.49,2.4324324324324325
Pepperoni - Large Thin 'N Crispy® Slice,110.6,13.0,29.0,13.0,4.0,2.0,660.0,35.0,280.0,6.0,0.0,0.6904761904761906,0.8333333333333334,1.2059369202226344,1.9642857142857144,1.8571428571428572,15.49,2.142857142857143
Pepperoni Lover's® - Large Thin 'N Crispy®; Slice,133.4,18.0,30.0,17.0,4.0,2.0,830.0,55.0,350.0,9.0,0.5,0.5714285714285715,1.0476190476190477,1.3358070500927643,1.9761904761904763,1.9428571428571428,15.49,2.571428571428571
Supreme - Large Thin 'N Crispy® Slice,142.4,14.0,30.0,14.0,5.0,2.0,680.0,40.0,300.0,6.0,0.0,0.6666666666666667,0.888888888888889,1.2121212121212122,1.8888888888888888,1.8666666666666667,15.49,2.0
Ultimate Cheese Lover's® - Large Thin 'N Crispy® Slice,114.9,14.0,28.0,15.0,4.0,2.0,620.0,40.0,290.0,7.0,0.0,0.6436781609195402,0.9195402298850575,1.2539184952978055,1.7816091954022988,2.0689655172413794,15.49,2.413793103448276
Veggie Lover's® - Large Thin 'N Crispy® Slice,144.4,8.0,31.0,11.0,5.0,3.0,580.0,20.0,240.0,4.0,0.0,0.8611111111111113,0.5555555555555556,0.8658008658008658,2.013888888888889,1.8333333333333333,15.49,1.6666666666666667
