Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Jamocha Handcrafted Shake, Large",758.0,30.0,156.0,23.0,141.0,1.0,700.0,95.0,950.0,19.0,0.5,1.0947368421052632,0.6666666666666667,0.8202323991797676,0.6140350877192983,0.968421052631579,1.99,2.0
"Jamocha Handcrafted Shake, Medium",587.0,23.0,124.0,18.0,112.0,1.0,550.0,75.0,750.0,15.0,0.5,1.1022222222222222,0.6666666666666667,0.7965367965367964,0.611111111111111,0.96,1.79,2.0
"Jamocha Handcrafted Shake, Small",413.0,17.0,87.0,13.0,79.0,1.0,380.0,55.0,540.0,11.0,0.0,1.0740740740740742,0.6790123456790124,0.8177008177008176,0.5864197530864198,0.962962962962963,1.59,2.037037037037037
"Jamocha Handcrafted Shake, Snack",255.0,8.0,55.0,8.0,50.0,0.0,240.0,25.0,310.0,5.0,0.0,1.1827956989247312,0.5376344086021505,0.6702974444909928,0.6451612903225806,1.032258064516129,1.19,1.6129032258064515
Salted Caramel & Chocolate Cookie,94.0,18.0,63.0,4.0,33.0,1.0,360.0,30.0,430.0,10.0,0.0,0.9767441860465117,0.46511627906976744,1.0872848082150408,0.6976744186046512,0.37209302325581395,2.99,2.3255813953488373
Triple Chocolate Cookie,95.0,21.0,60.0,5.0,31.0,2.0,370.0,40.0,450.0,13.0,0.0,0.888888888888889,0.5925925925925927,1.2121212121212122,0.6851851851851852,0.4444444444444445,1.39,2.888888888888889
"Ultimate Chocolate Shake, Large",758.0,31.0,158.0,24.0,140.0,2.0,700.0,95.0,970.0,20.0,0.5,1.0859106529209623,0.6529209621993127,0.8300977373142321,0.6013745704467354,0.9896907216494845,2.99,2.0618556701030926
"Ultimate Chocolate Shake, Medium",587.0,24.0,126.0,18.0,111.0,2.0,540.0,75.0,760.0,15.0,0.5,1.1052631578947367,0.6578947368421053,0.8202323991797676,0.5921052631578948,0.9473684210526316,2.49,1.9736842105263157
"Ultimate Chocolate Shake, Small",413.0,18.0,89.0,13.0,78.0,1.0,380.0,55.0,550.0,12.0,0.0,1.0787878787878789,0.6666666666666667,0.8500590318772138,0.5757575757575758,0.9454545454545454,1.99,2.181818181818182
"Ultimate Chocolate Shake, Snack",255.0,9.0,57.0,8.0,49.0,1.0,240.0,25.0,320.0,6.0,0.0,1.1875,0.5208333333333334,0.7305194805194806,0.625,1.0,1.29,1.875
"Vanilla Handcrafted Shake, Large",700.0,30.0,124.0,23.0,115.0,1.0,630.0,95.0,820.0,19.0,0.5,1.008130081300813,0.7723577235772359,0.9502692429521697,0.6402439024390244,1.1219512195121952,2.19,2.317073170731707
