Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Bistro French Onion Soup, Bowl",,13.0,35.0,12.0,15.0,4.0,1670.0,10.0,310.0,6.0,0.0,0.7526881720430108,0.21505376344086022,1.0892333472978635,4.489247311827957,1.5483870967741935,5.29,1.935483870967742
"Bistro French Onion Soup, Bread Bowl",,13.0,151.0,35.0,11.0,7.0,2240.0,5.0,860.0,4.0,0.0,1.1705426356589148,0.03875968992248062,0.39263062518876474,2.170542635658915,1.6279069767441863,5.29,0.46511627906976744
"Bistro French Onion Soup, Cup",,8.0,21.0,8.0,10.0,2.0,1070.0,5.0,190.0,3.5,0.0,0.7368421052631579,0.17543859649122806,1.0936431989063569,4.692982456140351,1.6842105263157894,4.29,1.8421052631578945
"Broccoli Cheddar Soup, Bowl",,21.0,30.0,14.0,6.0,6.0,1330.0,55.0,360.0,13.0,1.0,0.5555555555555556,1.0185185185185186,1.5151515151515151,3.078703703703704,1.5555555555555556,5.29,3.6111111111111107
"Broccoli Cheddar Soup, Bread Bowl",,18.0,149.0,35.0,5.0,8.0,2000.0,35.0,900.0,8.0,0.5,1.1037037037037039,0.2592592592592593,0.5194805194805194,1.851851851851852,1.5555555555555556,5.29,0.8888888888888888
"Broccoli Cheddar Soup, Cup",,13.0,19.0,9.0,4.0,4.0,840.0,35.0,230.0,8.0,0.5,0.5507246376811594,1.0144927536231885,1.4680971202710333,3.043478260869565,1.565217391304348,4.29,3.4782608695652173
"Cream of Chicken & Wild Rice Soup, Bowl",,16.0,27.0,10.0,2.0,5.0,1390.0,35.0,260.0,7.0,0.5,0.6923076923076924,0.8974358974358975,1.5984015984015985,4.455128205128205,1.5384615384615385,5.29,2.6923076923076925
"Cream of Chicken & Wild Rice Soup, Bread Bowl",,15.0,148.0,33.0,2.0,8.0,2090.0,25.0,840.0,5.0,0.0,1.1746031746031746,0.1984126984126984,0.46382189239332094,2.0734126984126986,1.5714285714285714,5.29,0.5952380952380952
"Cream of Chicken & Wild Rice Soup, Cup",,10.0,18.0,6.0,1.0,4.0,920.0,25.0,180.0,4.5,0.0,0.6666666666666667,0.925925925925926,1.4430014430014428,4.2592592592592595,1.3333333333333333,4.29,2.5
"Low-Fat Chicken Noodle Soup, Bowl",,5.0,19.0,14.0,2.0,3.0,1400.0,110.0,160.0,1.5,0.0,0.7916666666666666,4.583333333333334,0.8116883116883117,7.291666666666667,3.5,5.29,0.9375
"Low-Fat Chicken Noodle Soup, Bread Bowl",,8.0,143.0,36.0,2.0,7.0,2090.0,75.0,780.0,1.5,0.0,1.222222222222222,0.6410256410256411,0.2664002664002664,2.232905982905983,1.8461538461538463,5.29,0.19230769230769232
"Low-Fat Chicken Noodle Soup, Cup",,3.0,13.0,10.0,1.0,2.0,930.0,75.0,110.0,1.0,0.0,0.7878787878787878,4.545454545454545,0.7083825265643447,7.045454545454546,3.6363636363636367,4.29,0.9090909090909091
"New England Clam Chowder, Bowl",,39.0,42.0,14.0,6.0,3.0,1040.0,145.0,570.0,24.0,1.5,0.49122807017543857,1.6959064327485383,1.7771701982228298,1.5204678362573099,0.9824561403508771,5.29,4.2105263157894735
"New England Clam Chowder, Bread Bowl",,30.0,157.0,36.0,4.0,7.0,1840.0,95.0,1040.0,16.0,1.0,1.0064102564102564,0.6089743589743589,0.7492507492507493,1.4743589743589745,1.3846153846153846,5.29,1.5384615384615385
"New England Clam Chowder, Cup",,25.0,27.0,9.0,4.0,2.0,680.0,95.0,370.0,16.0,1.0,0.4864864864864865,1.7117117117117118,1.7550017550017551,1.5315315315315317,0.972972972972973,12.99,4.324324324324325
"Vegetarian Creamy Tomato Soup, Bowl",,13.0,36.0,6.0,16.0,4.0,910.0,50.0,280.0,7.0,0.0,0.8571428571428571,1.1904761904761905,1.2059369202226344,2.7083333333333335,0.8571428571428572,5.29,2.5
"Vegetarian Creamy Tomato Soup, Bread Bowl",,13.0,155.0,31.0,11.0,7.0,1790.0,30.0,860.0,5.0,0.0,1.2015503875968991,0.23255813953488372,0.39263062518876474,1.734496124031008,1.4418604651162792,5.29,0.5813953488372093
"Vegetarian Creamy Tomato Soup, Cup",,9.0,25.0,4.0,11.0,3.0,630.0,30.0,200.0,4.5,0.0,0.8333333333333334,1.0,1.1688311688311688,2.625,0.8,4.29,2.25
Kids Bacon Mac & Cheese,,37.0,34.0,22.0,8.0,1.0,1310.0,95.0,550.0,19.0,1.0,0.41212121212121217,1.1515151515151516,1.7473435655253837,1.9848484848484849,1.6,7.99,3.4545454545454546
Kids Baja Mac & Cheese,,35.0,39.0,18.0,9.0,4.0,1160.0,155.0,530.0,18.0,1.0,0.49056603773584906,1.949685534591195,1.7152658662092624,1.8238993710691824,1.3584905660377358,7.99,3.3962264150943398
Kids Baked Potato Soup,,13.0,22.0,6.0,3.0,3.0,950.0,30.0,220.0,7.0,0.0,0.6666666666666667,0.9090909090909091,1.5348288075560803,3.5984848484848486,1.0909090909090908,4.29,3.1818181818181817
Kids BBQ Chicken Mac & Cheese,,34.0,42.0,23.0,14.0,2.0,1390.0,100.0,570.0,18.0,1.0,0.49122807017543857,1.1695906432748537,1.5493278651173388,2.0321637426900585,1.6140350877192984,8.49,3.1578947368421053
Kids Bistro French Onion Soup,,8.0,21.0,8.0,10.0,2.0,1070.0,5.0,190.0,3.5,0.0,0.7368421052631579,0.17543859649122806,1.0936431989063569,4.692982456140351,1.6842105263157894,4.29,1.8421052631578945
Kids Broccoli Cheddar Soup,,13.0,19.0,9.0,4.0,4.0,840.0,35.0,230.0,8.0,0.5,0.5507246376811594,1.0144927536231885,1.4680971202710333,3.043478260869565,1.565217391304348,4.29,3.4782608695652173
Kids Caesar Salad,,13.0,7.0,5.0,1.0,1.0,300.0,20.0,160.0,3.0,0.0,0.2916666666666667,0.8333333333333334,2.1103896103896105,1.5625,1.25,4.59,1.875
Kids Cream of Chicken & Wild Rice Soup,,10.0,18.0,6.0,1.0,4.0,920.0,25.0,180.0,4.5,0.0,0.6666666666666667,0.925925925925926,1.4430014430014428,4.2592592592592595,1.3333333333333333,4.29,2.5
Kids Greek Salad,,18.0,7.0,4.0,4.0,2.0,510.0,10.0,200.0,4.0,0.0,0.23333333333333336,0.33333333333333337,2.3376623376623376,2.125,0.8,4.59,2.0
Kids Grilled Cheese on Classic White Bread,,18.0,52.0,19.0,5.0,2.0,1090.0,50.0,450.0,10.0,0.5,0.7703703703703704,0.7407407407407407,1.0389610389610389,2.0185185185185186,1.6888888888888889,4.29,2.2222222222222223
Kids Ham Sandwich on Whole Grain Bread,,9.0,30.0,17.0,3.0,4.0,750.0,40.0,260.0,5.0,0.0,0.7692307692307693,1.0256410256410258,0.8991008991008992,2.4038461538461537,2.6153846153846154,4.29,1.9230769230769231
Kids Low-Fat Chicken Noodle Soup,,3.0,13.0,10.0,1.0,2.0,930.0,75.0,110.0,1.0,0.0,0.7878787878787878,4.545454545454545,0.7083825265643447,7.045454545454546,3.6363636363636367,4.29,0.9090909090909091
Kids Low-Fat Vegetarian Black Bean Soup,,1.0,27.0,5.0,1.0,12.0,740.0,0.0,90.0,0.0,0.0,2.0,0.0,0.28860028860028863,6.851851851851851,2.2222222222222223,4.29,0.0
Kids Mac & Cheese,,31.0,33.0,17.0,7.0,1.0,1040.0,80.0,470.0,17.0,1.0,0.4680851063829788,1.1347517730496455,1.7131804365846919,1.843971631205674,1.4468085106382977,7.99,3.6170212765957444
Kids New England Clam Chowder,,25.0,27.0,9.0,4.0,2.0,680.0,95.0,370.0,16.0,1.0,0.4864864864864865,1.7117117117117118,1.7550017550017551,1.5315315315315317,0.972972972972973,4.29,4.324324324324325
Kids Peanut Butter & Jelly on Whole Grain Bread,118.0,16.0,49.0,12.0,19.0,6.0,410.0,0.0,370.0,2.5,0.0,0.882882882882883,0.0,1.1232011232011232,0.9234234234234234,1.2972972972972974,4.29,0.6756756756756757
Kids Turkey Sandwich on Whole Grain Bread,,9.0,29.0,22.0,2.0,4.0,760.0,45.0,280.0,5.0,0.0,0.6904761904761906,1.0714285714285716,0.8348794063079776,2.2619047619047623,3.142857142857143,4.29,1.7857142857142856
Kids Vegetarian Creamy Tomato Soup,,9.0,25.0,4.0,11.0,3.0,630.0,30.0,200.0,4.5,0.0,0.8333333333333334,1.0,1.1688311688311688,2.625,0.8,4.29,2.25
"French Baguette, Side Portion",,1.0,36.0,6.0,0.0,1.0,440.0,0.0,180.0,0.0,0.0,1.3333333333333335,0.0,0.14430014430014432,2.037037037037037,1.3333333333333333,2.99,0.0
Sprouted Whole Grain Roll,,1.0,33.0,6.0,3.0,3.0,360.0,0.0,170.0,0.0,0.0,1.2941176470588236,0.0,0.15278838808250572,1.7647058823529413,1.4117647058823528,0.99,0.0
