Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Double Beef 'n Cheddar Sandwich,301.0,32.0,48.0,39.0,9.0,2.0,2100.0,100.0,630.0,11.0,1.5,0.507936507936508,1.0582010582010581,1.3193156050298906,2.777777777777778,0.41269841269841273
Double Roast Beef Sandwich,239.0,24.0,38.0,38.0,5.0,2.0,1610.0,95.0,510.0,9.0,1.5,0.49673202614379086,1.2418300653594772,1.2223071046600458,2.630718954248366,0.49673202614379086
Half Pound Beef 'n Cheddar Sandwich,358.0,39.0,48.0,49.0,9.0,2.0,2530.0,130.0,740.0,14.0,2.0,0.43243243243243246,1.1711711711711712,1.368901368901369,2.849099099099099,0.4414414414414415
Half Pound French Dip & Swiss/Au Jus Sandwich,441.0,35.0,52.0,55.0,3.0,2.0,3400.0,150.0,740.0,16.0,2.0,0.4684684684684685,1.3513513513513515,1.2285012285012284,3.8288288288288292,0.49549549549549554
Half Pound Roast Beef Sandwich,295.0,30.0,38.0,48.0,5.0,2.0,2040.0,130.0,610.0,12.0,2.0,0.41530054644808745,1.4207650273224044,1.2774111134766872,2.7868852459016398,0.5245901639344263
Fire-Roasted Philly Sandwich,291.0,32.0,46.0,42.0,4.0,3.0,1950.0,105.0,640.0,11.0,0.5,0.47916666666666663,1.09375,1.2987012987012987,2.5390625,0.43750000000000006
Three Cheese Steak Sandwich,255.0,36.0,44.0,42.0,7.0,2.0,1750.0,115.0,650.0,15.0,1.0,0.4512820512820513,1.1794871794871795,1.4385614385614387,2.243589743589744,0.4307692307692308
Grand Turkey Club Sandwich,233.0,24.0,37.0,30.0,9.0,2.0,1610.0,65.0,480.0,7.0,0.0,0.513888888888889,0.9027777777777778,1.2987012987012987,2.795138888888889,0.4166666666666667
Roast Turkey & Swiss Sandwich,326.0,28.0,79.0,38.0,15.0,5.0,1930.0,65.0,710.0,7.0,0.0,0.7417840375586855,0.6103286384976526,1.0243277848911652,2.2652582159624415,0.3568075117370892
Roast Turkey & Swiss Wrap,261.0,27.0,39.0,30.0,6.0,4.0,1640.0,65.0,520.0,9.0,0.0,0.5,0.8333333333333334,1.3486513486513487,2.628205128205128,0.38461538461538464
Roast Turkey Ranch & Bacon Sandwich,344.0,34.0,79.0,45.0,16.0,5.0,2420.0,80.0,800.0,10.0,0.5,0.6583333333333334,0.6666666666666667,1.103896103896104,2.5208333333333335,0.375
Roast Turkey Ranch & Bacon Wrap,279.0,34.0,39.0,37.0,6.0,4.0,2130.0,85.0,620.0,11.0,0.5,0.4193548387096774,0.9139784946236559,1.42438206954336,2.862903225806452,0.39784946236559143
Buttermilk Buffalo Chicken Sandwich,245.0,26.0,52.0,28.0,6.0,4.0,2050.0,65.0,550.0,5.0,0.0,0.6303030303030304,0.7878787878787878,1.2278630460448643,3.106060606060606,0.3393939393939394
Buttermilk Chicken Bacon & Swiss Sandwich,289.0,33.0,55.0,38.0,9.0,4.0,1700.0,95.0,660.0,10.0,0.0,0.5555555555555556,0.9595959595959597,1.2987012987012987,2.1464646464646466,0.38383838383838387
Buttermilk Chicken Cordon Bleu Sandwich,264.0,36.0,52.0,41.0,7.0,3.0,1940.0,115.0,700.0,10.0,0.0,0.49523809523809526,1.0952380952380953,1.3358070500927643,2.3095238095238098,0.3904761904761905
Buttermilk Crispy Chicken Sandwich,257.0,27.0,52.0,28.0,6.0,4.0,1420.0,70.0,560.0,5.0,0.0,0.6190476190476191,0.8333333333333334,1.2523191094619666,2.113095238095238,0.33333333333333337
Prime-Cut Chicken Tenders (3),131.0,17.0,28.0,23.0,0.0,2.0,950.0,45.0,360.0,2.5,0.0,0.5185185185185186,0.8333333333333334,1.2265512265512266,2.199074074074074,0.42592592592592593
Prime-Cut Chicken Tenders (5),219.0,28.0,47.0,39.0,0.0,3.0,1590.0,75.0,600.0,4.0,0.0,0.5222222222222223,0.8333333333333334,1.2121212121212122,2.2083333333333335,0.43333333333333335
Chopped Farmhouse Salad with Crispy Chicken,323.0,24.0,26.0,28.0,4.0,4.0,1000.0,65.0,430.0,8.0,0.0,0.40310077519379844,1.0077519379844961,1.4497130776200544,1.9379844961240311,0.43410852713178294
Chopped Farmhouse Salad with Roast Turkey,285.0,13.0,8.0,22.0,5.0,2.0,870.0,55.0,230.0,7.0,0.0,0.2318840579710145,1.5942028985507248,1.4680971202710333,3.1521739130434785,0.6376811594202899
Chopped Side Salad,128.0,5.0,4.0,5.0,2.0,1.0,100.0,15.0,70.0,2.5,0.0,0.38095238095238093,1.4285714285714286,1.8552875695732838,1.1904761904761905,0.47619047619047616
Buffalo Chicken Slider,106.0,13.0,31.0,12.0,2.0,2.0,860.0,20.0,290.0,2.0,0.0,0.7126436781609196,0.45977011494252873,1.1643528884908194,2.4712643678160924,0.27586206896551724
Chicken Tender 'n Cheese Slider,99.0,12.0,30.0,15.0,1.0,1.0,720.0,25.0,290.0,3.5,0.0,0.6896551724137931,0.574712643678161,1.0747872816838333,2.0689655172413794,0.3448275862068966
Ham 'n Cheese Slider,91.0,9.0,22.0,13.0,3.0,1.0,750.0,30.0,230.0,3.5,0.0,0.6376811594202899,0.8695652173913043,1.0163749294184077,2.717391304347826,0.37681159420289856
Jalapeno Roast Beef 'n Cheese Slider,98.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,0.5833333333333334,0.8333333333333334,1.1904761904761905,2.326388888888889,0.3888888888888889
Pizza Slider,95.0,17.0,23.0,13.0,2.0,1.0,930.0,35.0,300.0,6.0,0.0,0.5111111111111111,0.7777777777777778,1.4718614718614718,2.5833333333333335,0.2888888888888889
Roast Beef 'n Cheese Slider,91.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,0.5833333333333334,0.8333333333333334,1.1904761904761905,2.326388888888889,0.3888888888888889
Turkey 'n Cheese Slider,91.0,7.0,21.0,14.0,2.0,1.0,760.0,25.0,200.0,2.5,0.0,0.7,0.8333333333333334,0.9090909090909092,3.1666666666666665,0.46666666666666673
"Curly Fries, Large",201.0,35.0,77.0,8.0,0.0,7.0,1480.0,0.0,650.0,5.0,0.0,0.7897435897435898,0.0,1.3986013986013988,1.8974358974358974,0.08205128205128205
"Curly Fries, Medium",170.0,29.0,65.0,6.0,0.0,6.0,1250.0,0.0,550.0,4.0,0.0,0.7878787878787878,0.0,1.369539551357733,1.8939393939393943,0.07272727272727274
"Curly Fries, Small",128.0,22.0,49.0,5.0,0.0,5.0,940.0,0.0,410.0,3.0,0.0,0.7967479674796748,0.0,1.3937282229965156,1.9105691056910568,0.0813008130081301
"Curly Fries, Snack",77.0,13.0,29.0,3.0,0.0,3.0,570.0,0.0,250.0,2.0,0.0,0.7733333333333334,0.0,1.3506493506493507,1.9,0.08
Jalapeno Bites (5),110.0,17.0,31.0,5.0,3.0,2.0,660.0,25.0,290.0,6.0,0.0,0.7126436781609196,0.574712643678161,1.5226153157187639,1.8965517241379313,0.11494252873563218
Jalapeno Bites (8),176.0,27.0,50.0,8.0,4.0,3.0,1060.0,40.0,470.0,10.0,0.5,0.7092198581560284,0.5673758865248227,1.4921248963802156,1.8794326241134751,0.11347517730496455
Loaded Curly Fries,233.0,46.0,57.0,14.0,2.0,5.0,1990.0,35.0,700.0,9.0,0.0,0.5428571428571429,0.33333333333333337,1.7068645640074211,2.369047619047619,0.13333333333333333
