Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Roasted Turkey & Avocado BLT on Country Rustic, Whole",,35g,52g,41g,4g,6g,1180mg,80mg,690,7g,0g,$6.39
"Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Half",,16g,31g,23g,7g,3g,640mg,50mg,360,6g,0g,$6.59
"Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Whole",,32g,62g,47g,15g,6g,1280mg,100mg,710,12g,1g,$8.59
"Steak & Arugula on Sourdough, Half",,9g,25g,16g,4g,2g,430mg,45mg,250,4g,0g,$5.29
"Steak & Arugula on Sourdough, Whole",,19g,50g,32g,8g,4g,870mg,90mg,500,8g,0g,0
"Steak & White Cheddar Panini on Artisan Ciabatta, Half",184g,20g,43g,24g,3g,2g,700mg,60mg,460,8g,0.5g,$6.19
"Steak & White Cheddar Panini on Artisan Ciabatta, Whole",,41g,86g,48g,6g,5g,1390mg,125mg,910,16g,1g,$8.79
"The Italian on Artisan Ciabatta, Half",,21g,41g,20g,1g,2g,1150mg,45mg,440,7g,0g,$5.99
"The Italian on Artisan Ciabatta, Whole",,42g,82g,41g,2g,4g,2310mg,95mg,870,13g,0g,$8.29
"Tuna Salad Sandwich on Black Pepper Focaccia, Half",,17g,29g,14g,2g,2g,680mg,20mg,330,2.5g,0g,0
"Tuna Salad Sandwich on Black Pepper Focaccia, Whole",,35g,58g,28g,5g,4g,1350mg,45mg,660,5g,0g,0
"Turkey Sandwich on Whole Grain, Half",,8g,32g,18g,4g,5g,590mg,25mg,270,1.5g,0g,0
"Turkey Sandwich on Whole Grain, Whole",,17g,65g,37g,7g,9g,1180mg,55mg,540,3g,0g,0
"BBQ Chicken Flatbread, 1 Flatbread",,18g,37g,24g,7g,3g,860mg,75mg,400,10g,0g,$4.99
"BBQ Chicken Flatbread, 2 Flatbreads",,36g,75g,48g,14g,7g,1720mg,155mg,810,20g,1g,$7.59
"Asian Sesame Salad with Chicken, Half",,11g,13g,16g,3g,2g,270mg,40mg,200,1.5g,0g,$5.69
"Asian Sesame Salad with Chicken, Whole",353g,21g,25g,32g,5g,4g,540mg,80mg,410,3g,0g,$7.79
"Asian Sesame Vinaigrette, Half",,4g,2g,0g,2g,0g,95mg,0mg,45,0.5g,0g,$6.99
"Asian Sesame Vinaigrette, Whole",,8g,4g,0g,4g,0g,190mg,0mg,90,1g,0g,0
"Caesar Dressing, Half",,9g,1g,0g,0g,0g,125mg,15mg,80,1.5g,0g,0
"Caesar Dressing, Whole",,18g,2g,1g,1g,0g,250mg,25mg,170,3g,0g,0
"Caesar Salad, Half",,13g,7g,5g,1g,1g,300mg,20mg,160,3g,0g,$4.59
"Caesar Salad, Whole",249g,25g,14g,10g,2g,2g,600mg,40mg,320,6g,0g,$6.09
"Caesar Salad with Chicken, Half",,14g,8g,17g,1g,1g,390mg,60mg,220,3.5g,0g,$5.69
"Caesar Salad with Chicken, Whole",,27g,17g,35g,2g,2g,770mg,120mg,450,7g,0g,$7.79
"Chile Lime Rojo Ranch, Half",,3g,1g,1g,1g,0g,60mg,5mg,40,0.5g,0g,0
"Chile Lime Rojo Ranch, Whole",,6g,3g,2g,2g,0g,120mg,5mg,80,1.5g,0g,0
"Fuji Apple Salad with Chicken, Half",,17g,18g,17g,10g,3g,290mg,45mg,280,3.5g,0g,$5.99
"Fuji Apple Salad with Chicken, Whole",,35g,36g,33g,20g,6g,590mg,95mg,570,7g,0g,$8.49
"Greek Dressing, Half",43g,13g,0g,0g,0g,0g,160mg,0mg,120,2g,0g,0
"Greek Dressing, Whole",,25g,1g,0g,0g,0g,310mg,0mg,230,3.5g,0g,0
"Greek Salad, Half",,18g,5g,4g,2g,2g,590mg,10mg,200,4g,0g,$4.59
"Greek Salad, Whole",,36g,11g,6g,4g,4g,1190mg,25mg,390,8g,0g,$6.09
"Green Goddess Cobb Salad with Chicken, Half",,17g,12g,21g,6g,4g,360mg,145mg,280,4g,0g,0
"Green Goddess Cobb Salad with Chicken, Whole",,33g,24g,42g,12g,7g,720mg,290mg,550,8g,0g,0
"Green Goddess Dressing, Half",,5g,1g,1g,1g,0g,70mg,5mg,60,1g,0g,0
"Green Goddess Dressing, Whole",,11g,3g,2g,2g,0g,140mg,10mg,120,2g,0g,0
"Low Fat Thai Chili Vinaigrette, Half",,1g,4g,0g,3g,0g,80mg,0mg,25,0g,0g,0
"Low Fat Thai Chili Vinaigrette, Whole",,1.5g,8g,1g,7g,1g,160mg,0mg,50,0g,0g,0
"Modern Greek Salad with Quinoa, Half",,20g,14g,6g,2g,3g,440mg,5mg,260,3.5g,0g,$4.19
"Modern Greek Salad with Quinoa, Whole",,43g,27g,12g,4g,7g,870mg,15mg,530,7g,0g,$5.99
"Reduced Fat Balsamic Vinaigrette, Half",,5g,5g,0g,4g,0g,60mg,0mg,60,1g,0g,0
"Reduced Fat Balsamic Vinaigrette, Whole",,10g,9g,0g,9g,0g,115mg,0mg,130,1.5g,0g,$2.99
"Seasonal Greens Salad, Half",,6g,10g,2g,7g,2g,75mg,0mg,90,1g,0g,0
"Seasonal Greens Salad, Whole",,11g,20g,4g,13g,4g,150mg,0mg,180,1.5g,0g,0
"Southwest Chile Lime Ranch Salad with Chicken, Half",,17g,28g,19g,5g,5g,400mg,50mg,330,3.5g,0g,0
"Southwest Chile Lime Ranch Salad with Chicken, Whole",,34g,56g,38g,9g,10g,800mg,95mg,670,7g,0g,0
"Spicy Thai Salad with Chicken, Half",,11g,21g,21g,6g,4g,380mg,40mg,260,1.5g,0g,$6.59
"Spicy Thai Salad with Chicken, Whole",,22g,41g,42g,12g,8g,750mg,80mg,510,3g,0g,$9.29
"White Balsamic Apple Flavored Vinaigrette, Half",,6g,6g,0g,5g,0g,70mg,0mg,80,1g,0g,0
"White Balsamic Apple Flavored Vinaigrette, Whole",,12g,11g,0g,10g,1g,140mg,0mg,160,2g,0g,0
Lentil Quinoa Broth Bowl with Chicken,,9g,45g,32g,5g,9g,1330mg,65mg,380,1.5g,0g,$8.69
Lentil Quinoa Broth Bowl wtih Cage-Free Egg,,12g,44g,16g,5g,9g,1240mg,185mg,340,2.5g,0g,$11.18
Soba Noodle Bowl with Chicken,,9g,46g,30g,4g,4g,1190mg,65mg,380,1.5g,0g,$11.68
Soba Noodle Bowl with Edamame Blend,,11g,50g,13g,6g,7g,1350mg,0mg,350,1g,0g,$8.19
Vegan Lentil Quinoa Broth Bowl,,7g,43g,10g,5g,9g,1180mg,0mg,270,1g,0g,0
"Bacon Mac & Cheese, Bread Bowl",,41g,164g,48g,9g,6g,2470mg,95mg,1220,20g,1g,$1.25
"Bacon Mac & Cheese, Large",,73g,67g,43g,16g,2g,2620mg,190mg,1100,39g,1.5g,0
"Bacon Mac & Cheese, Small",,37g,34g,22g,8g,1g,1310mg,95mg,550,19g,1g,$2.99
"Baja Mac & Cheese, Bread Bowl",,39g,169g,44g,10g,8g,2320mg,155mg,1200,18g,1g,$13.99
"Baja Mac & Cheese, Large",,70g,77g,35g,19g,8g,2320mg,80mg,1070,36g,1.5g,0
