,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
0,Cinnamon Raisin Bagel,,1g,67g,11g,13g,4g,510mg,0mg,320,0g,0g,0
1,Everything Bagel,,3g,67g,12g,6g,5g,630mg,0mg,340,0.5g,0g,0
2,Multigrain Bagel,,8g,63g,15g,8g,8g,550mg,0mg,380,1g,0g,0
3,Plain Bagel,,1g,64g,11g,6g,4g,620mg,0mg,300,0g,0g,$0.89
4,Sesame Seed Bagel,,5g,64g,12g,6g,5g,630mg,0mg,350,1g,0g,0
5,White Cheddar Bagel Twist,,8g,64g,16g,6g,4g,760mg,20mg,390,4.5g,0g,0
6,"Cold Brew Coffee, Large",,0g,3g,1g,0g,0g,15mg,0mg,20,0g,0g,0
7,"Cold Brew Coffee, Medium",,0g,2g,1g,0g,0g,10mg,0mg,15,0g,0g,0
8,"Cold Brew Coffee, Small",,0g,2g,1g,0g,0g,10mg,0mg,10,0g,0g,0
9,"Cold Brew Coffee with Cream, Large",,12g,6g,3g,0g,0g,40mg,40mg,140,7g,0g,$3.99
10,"Cold Brew Coffee with Cream, Medium",,9g,4g,2g,1g,0g,45mg,25mg,100,4.5g,0g,0
11,"Cold Brew Coffee with Cream, Small",,6g,2g,1g,1g,0g,30mg,20mg,70,3g,0g,0
12,"Cold Brew Coffee with Cream and Sugar, Large",,12g,40g,3g,36g,0g,60mg,35mg,270,6g,0g,0
13,"Cold Brew Coffee with Cream and Sugar, Medium",,9g,30g,2g,27g,0g,45mg,25mg,200,4.5g,0g,0
14,"Cold Brew Coffee with Cream and Sugar, Small",,6g,20g,1g,18g,0g,30mg,20mg,130,3g,0g,0
15,Butter Packet,,4g,0g,0g,0g,0g,30mg,10mg,35,2.5g,0g,0
16,Butter Spread with Canola Oil,,11g,0g,0g,0g,0g,85mg,15mg,100,4g,0g,0
