,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
149,Ultimate Cheese Lover's® - Rectangle Slice,103.5g,12g,28g,11g,1g,2g,480mg,25mg,260,5g,0g,0
150,Veggie Lover's® - Rectangle Slice,117.1g,8g,30g,9g,2g,2g,440mg,15mg,220,3g,0g,0
151,"Backyard BBQ Chicken - 18"" Slice",185.4g,13g,57g,19g,9g,3g,720mg,40mg,420,6g,0g,0
152,"Buffalo Chicken - 18"" Slice",186.7g,11g,54g,18g,3g,3g,1030mg,35mg,380,5g,0g,0
153,"Cheese & Mushroom - 18"" Slice",205.3g,10g,51g,17g,3g,4g,710mg,30mg,360,5g,0g,0
154,"Cheese - 18"" Slice",194.9g,14g,51g,19g,3g,4g,820mg,40mg,410,7g,0g,0
155,"Chicken-Bacon Parmesan - 18"" Slice",211.5g,20g,49g,22g,2g,3g,830mg,50mg,460,8g,0g,0
156,"Four Pepper Pepperoni - 18"" Slice",216.1g,13g,51g,17g,4g,4g,1160mg,35mg,390,6g,0g,0
157,"Hawaiian Chicken - 18"" Slice",222.5g,11g,54g,19g,6g,4g,850mg,40mg,390,5g,0g,0
158,"Italian Sausage - 18"" Slice",198.6g,18g,51g,19g,3g,4g,890mg,45mg,440,8g,0g,0
159,"Meat Lover's® - 18"" Slice",217.2g,24g,51g,22g,3g,4g,1100mg,55mg,500,10g,0g,$15.49
160,"Pepperoni - 18"" Slice",182.1g,14g,50g,17g,3g,4g,800mg,35mg,390,6g,0g,0
161,"Pepperoni Lover's® - 18"" Slice",208.7g,20g,51g,22g,3g,4g,980mg,55mg,470,10g,0.5g,$15.49
162,"Supreme - 18"" Slice",231.7g,17g,52g,19g,4g,4g,860mg,40mg,430,7g,0g,$15.49
163,"Triple Meat Italiano - 18"" Slice",197.7g,17g,50g,19g,3g,4g,940mg,45mg,430,8g,0g,0
164,"Ultimate Cheese Lover's® - 18"" Slice",193.6g,21g,49g,21g,2g,3g,820mg,50mg,470,9g,0g,$15.49
165,"Veggie Lover's® - 18"" Slice",245.3g,12g,54g,17g,4g,5g,800mg,30mg,390,5g,0g,$15.49
166,Backyard BBQ Chicken - Big New Yorker Slice,164.9g,10g,55g,17g,8g,3g,630mg,30mg,380,4.5g,0g,0
167,Buffalo Chicken - Big New Yorker Slice,165.2g,9g,52g,16g,2g,3g,890mg,30mg,350,4g,0g,0
168,Cheese - Big New Yorker Slice,162.5g,11g,48g,16g,3g,3g,590mg,30mg,350,5g,0g,0
169,Chicken-Bacon Parmesan - Big New Yorker Slice,171.8g,14g,47g,18g,2g,3g,640mg,35mg,380,6g,0g,0
170,Garden Chicken - Big New Yorker Slice,87.5g,7g,7g,9g,2g,2g,370mg,30mg,120,3.5g,0g,0
171,Garden Fresh - Big New Yorker Slice,83.5g,6g,7g,6g,2g,2g,310mg,20mg,110,3.5g,0g,0
172,Hawaiian Chicken - Big New Yorker Slice,184.4g,9g,50g,17g,3g,3g,710mg,30mg,350,4g,0g,0
173,Meat Lover's® - Big New Yorker Slice,190.3g,21g,48g,20g,2g,3g,960mg,50mg,460,8g,0g,$15.99
174,Pepperoni - Big New Yorker Slice,158.9g,13g,47g,15g,2g,3g,630mg,30mg,370,6g,0g,0
175,Pepperoni Lover's® - Big New Yorker Slice,179.6g,18g,48g,19g,2g,4g,840mg,50mg,440,8g,0g,$15.99
176,Supreme - Big New Yorker Slice,188.3g,15g,49g,16g,3g,4g,730mg,35mg,390,6g,0g,0
177,Ultimate Cheese Lover's® - Big New Yorker Slice,157.9g,14g,47g,17g,1g,3g,620mg,35mg,380,6g,0g,0
178,Veggie Lover's® - Big New Yorker Slice,186.9g,9g,50g,14g,3g,4g,610mg,20mg,330,4g,0g,$15.99
179,American Chicken Club *Local Specialty* - Personal Pan Pizza® Slice,80.3g,9g,18g,8g,2g,1g,340mg,20mg,180,2.5g,0g,0
180,Bacon Cheeseburger (w/ cheddar cheese) - Personal Pan Pizza® Slice,77.6g,11g,17g,8g,2g,1g,450mg,20mg,200,4.5g,0g,0
181,Badger Special *Local Specialty* - Personal Pan Pizza® Slice,74g,8g,18g,7g,2g,1g,350mg,15mg,170,3g,0g,0
182,BBQ Beef - Personal Pan Pizza® Slice,71.9g,7g,19g,7g,3g,1g,340mg,15mg,160,2.5g,0g,$15.49
183,BBQ Chicken (w/ cheddar cheese) - Personal Pan Pizza® Slice,67.1g,6g,18g,7g,3g,1g,340mg,15mg,150,2g,0g,0
184,BBQ Chicken *Local Specialty* - Personal Pan Pizza® Slice,80.6g,5g,25g,8g,8g,1g,380mg,20mg,180,2g,0g,0
185,BBQ Lover's *Local Specialty* - Personal Pan Pizza® Slice,77.6g,8g,25g,7g,8g,1g,410mg,15mg,200,3g,0g,0
186,BLT *Local Specialty* - Personal Pan Pizza® Slice,69.9g,9g,17g,6g,2g,1g,280mg,15mg,170,2.5g,0g,0
187,Fiesta Taco (Beef) - Personal Pan Pizza® Slice,87.1g,10g,21g,7g,2g,2g,380mg,15mg,200,3g,0g,0
188,Fiesta Taco (Chicken) - Personal Pan Pizza® Slice,88.2g,7g,21g,8g,2g,2g,340mg,15mg,180,2g,0g,0
189,Garden Chicken *Local Specialty* - Personal Pan Pizza® Slice,80.4g,6g,18g,8g,2g,1g,330mg,15mg,160,2g,0g,0
190,Garden Fresh *Local Specialty* - Personal Pan Pizza® Slice,82.7g,6g,18g,6g,2g,2g,290mg,10mg,150,2g,0g,0
191,Hawaiian *Local Specialty* - Personal Pan Pizza® Slice,70.3g,5g,18g,6g,3g,1g,330mg,10mg,140,2g,0g,0
192,Hawaiian Luau - Personal Pan Pizza® Slice,67.7g,6g,18g,6g,2g,1g,320mg,10mg,150,2g,0g,$15.49
193,Italian Classic - Personal Pan Pizza® Slice,,10g,17g,8g,2g,1g,400mg,20mg,190,4g,0g,$4.79
194,Ohio's Best *Local Specialty* - Personal Pan Pizza® Slice,83.8g,9g,18g,7g,2g,2g,370mg,15mg,180,3g,0g,0
195,Super Supreme - Personal Pan Pizza® Slice,90.6g,11g,18g,9g,2g,1g,470mg,20mg,210,4g,0g,$16.99
196,Taco Pizza *Local Specialty* - Personal Pan Pizza® Slice,83.5g,7g,19g,7g,2g,2g,330mg,15mg,170,3g,0g,0
