,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
239,Sobe Lifewater Yumberry Pomegranate (16 fl oz),,0g,0g,0g,0g,0g,65mg,0mg,0,0g,0g,0
240,Sobe Lifewater Yumberry Pomegranate (20 fl oz),,0g,0g,0g,0g,0g,80mg,0mg,0,0g,0g,0
241,Sobe Lifewater Yumberry Pomegranate (30 fl oz),,0g,1g,0g,0g,0g,120mg,0mg,5,0g,0g,0
242,Tropicana® Fruit Punch (12 fl oz),,0g,45g,0g,45g,0g,35mg,0mg,170,0g,0g,0
243,Tropicana® Fruit Punch (16 fl oz),,0g,60g,0g,60g,0g,45mg,0mg,230,0g,0g,0
244,Tropicana® Fruit Punch (20 fl oz),,0g,75g,0g,75g,0g,60mg,0mg,280,0g,0g,0
245,Tropicana® Fruit Punch (30 fl oz),,0g,113g,0g,112g,0g,90mg,0mg,420,0g,0g,0
246,Tropicana® Light Lemonade (12 fl oz),,0g,0g,0g,0g,0g,140mg,0mg,5,0g,0g,0
247,Tropicana® Light Lemonade (16 fl oz),,0g,0g,0g,0g,0g,190mg,0mg,10,0g,0g,0
248,Tropicana® Light Lemonade (20 fl oz),,0g,0g,0g,0g,0g,240mg,0mg,10,0g,0g,0
249,Tropicana® Light Lemonade (30 fl oz),,0g,1g,0g,0g,0g,350mg,0mg,15,0g,0g,0
250,Tropicana® Pink Lemonade (12 fl oz),,0g,40g,0g,40g,0g,160mg,0mg,150,0g,0g,0
251,Tropicana® Pink Lemonade (16 fl oz),,0g,53g,0g,53g,0g,210mg,0mg,210,0g,0g,$2.29
252,Tropicana® Pink Lemonade (20 fl oz),,0g,67g,0g,67g,0g,260mg,0mg,260,0g,0g,0
253,Tropicana® Pink Lemonade (30 fl oz),,0g,100g,0g,100g,0g,390mg,0mg,390,0g,0g,0
254,Tropicana® Twister® Orange (12 fl oz),,0g,46g,0g,46g,0g,35mg,0mg,170,0g,0g,0
255,Tropicana® Twister® Orange (16 fl oz),,0g,61g,0g,61g,0g,50mg,0mg,230,0g,0g,0
256,Tropicana® Twister® Orange (20 fl oz),,0g,76g,0g,76g,0g,60mg,0mg,290,0g,0g,0
257,Tropicana® Twister® Orange (30 fl oz),,0g,115g,0g,114g,0g,90mg,0mg,430,0g,0g,0
258,Wild Cherry Pepsi® (12 fl oz),,0g,42g,0g,42g,0g,30mg,0mg,160,0g,0g,0
259,Wild Cherry Pepsi® (16 fl oz),,0g,56g,0g,56g,0g,40mg,0mg,210,0g,0g,0
260,Wild Cherry Pepsi® (20 fl oz),,0g,70g,0g,70g,0g,50mg,0mg,260,0g,0g,0
261,Wild Cherry Pepsi® (30 fl oz),,0g,105g,0g,105g,0g,80mg,0mg,390,0g,0g,0
262,Country Fried Steak without Peppered White Gravy,105.9g,24g,22g,13g,0g,2g,750mg,35mg,360,7g,1g,0
263,Country Fried Steak with Peppered White Gravy,150.4g,26g,26g,13g,0g,2g,910mg,35mg,390,7g,1g,0
264,KFC® Gizzards,85g,16g,18g,20g,0g,1g,770mg,210mg,300,2g,0g,0
265,KFC® Livers,85g,13g,12g,17g,0g,0g,750mg,285mg,230,2.5g,0g,0
