Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Red, White & Blue Cookie",36g,6g,23g,1g,14g,0g,125mg,5mg,160,3g,0g
Soft Serve Cone,120g,4.5g,32g,5g,24g,0g,150mg,20mg,190,3g,0g
Soft Serve Cup,115g,4.5g,28g,5g,24g,0g,150mg,20mg,170,3g,0g
White Chocolate Macadamia Nut Cookies,76g,18g,44g,4g,28g,0g,240mg,20mg,340,8g,0g
American Cheese,11g,3.5g,1g,2g,0g,0g,180mg,10mg,40,2g,0g
Barbecue Dipping Sauce,28g,0g,11g,0g,10g,0g,310mg,0mg,40,0g,0g
Breakfast Syrup,41g,0g,30g,0g,18g,0g,15mg,0mg,120,0g,0g
Buffalo Dipping Sauce,28g,8g,2g,0g,1g,0g,360mg,5mg,80,1.5g,0g
Honey Mustard Dipping Sauce,28g,6g,8g,0g,7g,0g,180mg,10mg,90,1g,0g
Ketchup,10g,0g,3g,0g,2g,0g,125mg,0mg,10,0g,0g
