Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Frozen Vanilla Chai, Small",N/A,7g,80g,4g,76g,0g,125mg,10mg,400,5g,0g
Hash Browns,N/A,8g,17g,2g,0g,2g,480mg,0mg,140,1g,0g
"Americano, Large",N/A,0g,2g,0g,2g,0g,35mg,0mg,15,0g,0g
"Americano, Medium",N/A,0g,2g,0g,2g,0g,25mg,0mg,10,0g,0g
"Americano, Small",N/A,0g,1g,0g,1g,0g,20mg,0mg,10,0g,0g
"Caramel Swirl Hot Cappuccino with Skim Milk, Large",N/A,0g,64g,11g,62g,0g,140mg,10mg,310,0g,0g
"Caramel Swirl Hot Cappuccino with Skim Milk, Medium",N/A,0g,48g,8g,47g,0g,105mg,5mg,230,0g,0g
"Caramel Swirl Hot Cappuccino with Skim Milk, Small",N/A,0g,32g,6g,31g,0g,70mg,5mg,150,0g,0g
"Caramel Swirl Hot Cappuccino with Whole Milk, Large",N/A,8g,64g,10g,62g,0g,150mg,30mg,370,4.5g,0g
"Caramel Swirl Hot Cappuccino with Whole Milk, Medium",N/A,6g,48g,8g,46g,0g,110mg,20mg,280,3.5g,0g
"Caramel Swirl Hot Cappuccino with Whole Milk, Small",N/A,4g,32g,5g,31g,0g,75mg,15mg,190,2.5g,0g
"French Vanilla Swirl Hot Cappuccino with Skim Milk, Large",N/A,0g,64g,11g,60g,0g,170mg,10mg,300,0g,0g
"French Vanilla Swirl Hot Cappuccino with Skim Milk, Medium",N/A,0g,48g,8g,45g,0g,130mg,5mg,230,0g,0g
"French Vanilla Swirl Hot Cappuccino with Skim Milk, Small",N/A,0g,32g,5g,30g,0g,85mg,5mg,150,0g,0g
"French Vanilla Swirl Hot Cappuccino with Whole Milk, Large",N/A,8g,63g,10g,60g,0g,170mg,30mg,370,4.5g,0g
"French Vanilla Swirl Hot Cappuccino with Whole Milk, Medium",N/A,6g,48g,8g,45g,0g,130mg,20mg,280,3.5g,0g
"French Vanilla Swirl Hot Cappuccino with Whole Milk, Small",N/A,4g,32g,5g,30g,0g,85mg,15mg,180,2.5g,0g
"Hazelnut Swirl Hot Cappuccino with Skim Milk, Large",N/A,0g,64g,11g,60g,0g,170mg,10mg,300,0g,0g
"Hazelnut Swirl Hot Cappuccino with Skim Milk, Medium",N/A,0g,48g,8g,45g,0g,130mg,5mg,230,0g,0g
"Hazelnut Swirl Hot Cappuccino with Skim Milk, Small",N/A,0g,32g,5g,30g,0g,85mg,5mg,150,0g,0g
"Hazelnut Swirl Hot Cappuccino with Whole Milk, Large",N/A,8g,64g,10g,60g,0g,170mg,30mg,370,4.5g,0g
"Hazelnut Swirl Hot Cappuccino with Whole Milk, Medium",N/A,6g,48g,8g,45g,0g,130mg,20mg,280,3.5g,0g
"Hazelnut Swirl Hot Cappuccino with Whole Milk, Small",N/A,4g,32g,5g,30g,0g,85mg,15mg,190,2.5g,0g
"Hot Cappuccino, Large",N/A,8g,13g,8g,13g,0g,120mg,25mg,160,4.5g,0g
"Hot Cappuccino, Medium",N/A,6g,10g,6g,10g,0g,90mg,20mg,120,3.5g,0g
"Hot Cappuccino, Small",N/A,4g,7g,4g,7g,0g,70mg,15mg,80,2.5g,0g
"Hot Cappuccino with Sugar, Large",N/A,8g,48g,8g,48g,0g,120mg,25mg,290,4.5g,0g
