Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Build Your Own Sundae, Vanilla Ice Cream",N/A,30g,53g,7g,43g,0g,180mg,115mg,500,20g,0g
"Build Your Own Sundae, Whipped Cream",N/A,1g,1g,0g,1g,0g,0mg,0mg,15,0.5g,0g
Cake Batter Milkshake,N/A,52g,147g,13g,122g,0g,890mg,160mg,1090,37g,0g
Caramel Apple Pie Crisp,N/A,26g,126g,8g,87g,4g,620mg,65mg,760,15g,0g
Chocolate Lava Cake,N/A,34g,85g,6g,65g,2g,330mg,60mg,700,20g,0g
Chocolate Milkshake,N/A,43g,111g,17g,87g,0g,220mg,160mg,870,28g,0g
Chocolate Peanut Butter Milkshake,N/A,65g,111g,20g,89g,2g,450mg,160mg,1080,32g,0g
"New York Style Cheesecake, Plain",N/A,34g,42g,9g,31g,1g,370mg,150mg,500,20g,1g
New York Style Cheesecake with Strawberry Topping & Whipped Cream,N/A,35g,63g,10g,49g,2g,410mg,150mg,600,20g,1g
Oreo Milkshake,N/A,56g,125g,15g,90g,2g,610mg,160mg,1050,32g,0g
Peanut Butter Banana Milkshake,N/A,65g,99g,20g,77g,3g,430mg,160mg,1030,32g,0g
Strawberry Milkshake,N/A,34g,110g,12g,80g,1g,270mg,140mg,760,22g,0g
Vanilla Milkshake,N/A,43g,97g,12g,84g,0g,290mg,160mg,800,28g,0g
Brooklyn Spaghetti & Meatballs (Add Bread),N/A,45g,87g,41g,14g,6g,2340mg,115mg,930,15g,0g
"Chicken Strips (Add Bread, Side & Sauce Choices)",N/A,17g,53g,34g,0g,2g,1230mg,85mg,490,3g,0g
Country-Fried Steak with Gravy (Add Bread & Side Choices),N/A,34g,35g,28g,2g,1g,1620mg,105mg,560,13g,1.5g
Homestyle Meatloaf (Add Bread & Side Choices),N/A,29g,46g,34g,27g,4g,1760mg,155mg,590,12g,0g
Mediterranean Grilled Chicken (Add Bread & Side Choices),N/A,40g,6g,65g,3g,1g,1520mg,165mg,630,9g,0.5g
Sirloin Steak (Add Bread & Side Choices),N/A,15g,1g,54g,0g,0g,1080mg,140mg,360,4.5g,0g
Slow-Cooked Pot Roast (Add Bread & Side Choices),N/A,20g,10g,43g,2g,1g,1260mg,110mg,400,6g,0g
T-Bone Steak (Add Bread & Side Choices),N/A,30g,0g,52g,0g,0g,1220mg,120mg,490,12g,0.5g
Tilapia Ranchero (Add Bread & Side Choices),N/A,12g,6g,42g,2g,3g,650mg,90mg,300,2.5g,0g
Wild Alaska Salmon (Add Bread & Side Choices),N/A,23g,1g,32g,0g,0g,1220mg,115mg,350,6g,0g
"Dinner Side, Broccoli",N/A,0g,4g,2g,1g,2g,110mg,0mg,25,0g,0g
"Dinner Side, Caesar Salad",N/A,22g,15g,6g,3g,3g,590mg,15mg,280,5g,0g
"Dinner Side, French Fries",N/A,22g,46g,4g,0g,4g,470mg,0mg,400,4g,0g
"Dinner Side, Fresh Sauteed Zucchini & Squash",N/A,6g,3g,1g,2g,1g,440mg,0mg,70,1g,0g
"Dinner Side, Fresh Steamed Zucchini & Squash",N/A,0g,3g,1g,2g,1g,390mg,0mg,15,0g,0g
"Dinner Side, Garden Salad (Add Dressing Choice)",N/A,9g,16g,8g,4g,2g,330mg,20mg,170,4.5g,0g
"Dinner Side, Garlic Toast/Dinner Bread",N/A,7g,25g,6g,2g,1g,360mg,0mg,190,2g,0g
"Dinner Side, Hash Browns",N/A,12g,15g,1g,1g,1g,360mg,0mg,170,2g,0g
"Dinner Side, Red-Skinned Mashed Potatoes (Add Gravy Choice)",N/A,5g,17g,3g,2g,0g,560mg,15mg,120,3.5g,0g
"Dinner Side, Red-Skinned Potatoes",N/A,8g,26g,4g,0g,3g,580mg,0mg,200,1.5g,0g
Sweet Petite Corn,N/A,13g,20g,4g,8g,5g,310mg,0mg,210,2.5g,0g
Whole Grain Rice,N/A,2.5g,48g,6g,2g,5g,360mg,0mg,240,0.5g,0g
Country-Fried Steak & Eggs with Hash Browns (Add Egg & Bread Choices),N/A,33g,38g,19g,2g,2g,1380mg,65mg,520,10g,1g
Ham & Cheese Omelette with Hash Browns (Add Bread Choice),N/A,54g,20g,50g,3g,1g,2270mg,785mg,780,19g,1g
Loaded Veggie Omelette with Hash Browns (Add Bread Choice),N/A,44g,24g,31g,5g,3g,970mg,740mg,620,14g,0.5g
Moons Over My Hammy with Hash Browns,N/A,60g,57g,44g,4g,2g,2560mg,560mg,950,20g,1g
Philly Cheesesteak Omelette with Hash Browns (Add Bread Choice),N/A,64g,25g,48g,4g,2g,1540mg,795mg,880,21g,1g
T-Bone Steak & Eggs with Hash Browns (Add Egg & Bread Choices),N/A,42g,16g,53g,1g,1g,1590mg,120mg,660,14g,0.5g
The Grand Slamwich with Hash Browns,N/A,82g,87g,51g,10g,3g,3310mg,585mg,1290,27g,1g
Ultimate Omelette with Hash Browns (Add Bread Choice),N/A,68g,20g,37g,3g,2g,1580mg,775mg,850,21g,0g
Cali Club Sandwich (Add Side Choice),N/A,48g,55g,43g,12g,7g,2060mg,100mg,820,13g,0g
Chicken Philly Melt (Add Side Choice),N/A,40g,57g,45g,6g,3g,1520mg,105mg,760,15g,0g
Club Sandwich (Add Side Choice),N/A,39g,74g,47g,15g,8g,2200mg,90mg,830,8g,0g
Grilled Tuscan Chicken Sandwich (Add Side Choice),N/A,50g,53g,50g,13g,3g,1960mg,125mg,850,15g,0.5g
Moons Over My Hammy (Add Side Choice),N/A,48g,42g,43g,3g,1g,2200mg,560mg,780,18g,1g
Pot Roast Melt (Add Side Choice),N/A,46g,54g,63g,10g,5g,2240mg,155mg,870,16g,0.5g
Prime Rib Philly Melt (Add Side Choice),N/A,52g,62g,50g,7g,3g,2120mg,120mg,910,19g,0.5g
The Grand Slamwich (Add Side Choice),N/A,71g,72g,50g,9g,2g,2950mg,585mg,1120,25g,1g
The Super Bird (Add Side Choice),N/A,28g,43g,40g,5g,2g,1780mg,100mg,600,10g,0g
Bourbon Chicken Skillet,N/A,39g,68g,65g,34g,6g,1870mg,145mg,870,8g,0.5g
Crazy Spicy Skillet (Add Optional Egg Choice),N/A,56g,41g,50g,6g,5g,2600mg,145mg,860,19g,0.5g
Fit Fare Veggie Skillet,N/A,16g,40g,21g,5g,7g,1230mg,0mg,370,3g,0g
Santa Fe Skillet (Add Egg Choice),N/A,37g,32g,16g,2g,4g,1280mg,45mg,520,12g,0g
Smoky Gouda Chicken & Broccoli Skillet,N/A,36g,62g,60g,8g,8g,1870mg,145mg,810,12g,0g
