Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Blue Point Toasted Lager (12 oz),N/A,0g,15g,2g,0g,0g,15mg,0mg,150,0g,0g
Blue Point Toasted Lager (16 oz),N/A,0g,20g,3g,0g,0g,20mg,0mg,200,0g,0g
Bud Light (12 oz),N/A,0g,7g,1g,0g,0g,0mg,0mg,110,0g,0g
Bud Light (16 oz),N/A,0g,9g,1g,0g,0g,0mg,0mg,150,0g,0g
Budweiser (12 oz),N/A,0g,11g,1g,0g,0g,0mg,0mg,150,0g,0g
Budweiser (16 oz),N/A,0g,14g,2g,0g,0g,0mg,0mg,190,0g,0g
Coors (Coors Banquet) (12 oz),N/A,0g,12g,1g,0g,0g,15mg,0mg,150,0g,0g
Coors (Coors Banquet) (16 oz),N/A,0g,16g,1g,0g,0g,20mg,0mg,200,0g,0g
Coors Light (12 oz),N/A,0g,5g,0g,1g,0g,10mg,0mg,100,0g,0g
Coors Light (16 oz),N/A,0g,7g,0g,1g,0g,15mg,0mg,140,0g,0g
Copperhead Red (12 oz),N/A,0g,19g,2g,0g,0g,0mg,0mg,180,0g,0g
Copperhead Red (16 oz),N/A,0g,25g,3g,0g,0g,0mg,0mg,240,0g,0g
Corona Extra (12 oz),N/A,0g,14g,1g,0g,0g,20mg,0mg,150,0g,0g
Corona Extra (16 oz),N/A,0g,19g,2g,0g,0g,25mg,0mg,200,0g,0g
Corona Premier (12 oz),N/A,0g,3g,0g,2g,0g,0mg,0mg,90,0g,0g
Corona Premier (16 oz),N/A,0g,3g,1g,2g,0g,0mg,0mg,120,0g,0g
Dos Equis Mexican Pale Ale (12 oz),N/A,0g,15g,2g,0g,0g,0mg,0mg,180,0g,0g
Dos Equis Mexican Pale Ale (16 oz),N/A,0g,20g,3g,0g,0g,0mg,0mg,230,0g,0g
Fair Winds® Howling Gail (12 oz),N/A,0g,0g,0g,0g,0g,0mg,0mg,220,0g,0g
Fair Winds® Howling Gail (16 oz),N/A,0g,0g,0g,0g,0g,0mg,0mg,300,0g,0g
Fat Tire Amber Ale (12 oz),N/A,0g,0g,0g,0g,0g,0mg,0mg,160,0g,0g
Fat Tire Amber Ale (16 oz),N/A,0g,0g,0g,0g,0g,0mg,0mg,210,0g,0g
Firestone 805 (12 oz),N/A,0g,14g,2g,7g,0g,5mg,0mg,150,0g,0g
Firestone 805 (16 oz),N/A,0g,18g,2g,9g,0g,5mg,0mg,200,0g,0g
Four Peaks Kilt Lifter (12 oz),N/A,0g,14g,2g,0g,0g,10mg,0mg,180,0g,0g
Four Peaks Kilt Lifter (16 oz),N/A,0g,19g,3g,0g,0g,15mg,0mg,240,0g,0g
Heineken (12 oz),N/A,0g,11g,2g,0g,0g,0mg,0mg,140,0g,0g
Heineken (16 oz),N/A,0g,15g,3g,0g,0g,0mg,0mg,190,0g,0g
Heineken Light (12 oz),N/A,0g,7g,1g,0g,0g,0mg,0mg,100,0g,0g
Heineken Light (16 oz),N/A,0g,9g,1g,0g,0g,0mg,0mg,130,0g,0g
Kona Big Wave Golden Ale (12 oz),N/A,0g,10g,1g,0g,0g,10mg,0mg,130,0g,0g
Kona Big Wave Golden Ale (16 oz),N/A,0g,13g,2g,0g,0g,10mg,0mg,180,0g,0g
