Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Vanilla Iced Coffee, Small",N/A,6g,28g,2g,26g,0g,30mg,20mg,170,3.5g,0g
"Classic Chocolate Frosty, Junior",N/A,5g,33g,6g,27g,0g,90mg,20mg,200,3g,0g
"Classic Chocolate Frosty, Large",N/A,15g,99g,17g,81g,0g,260mg,60mg,590,10g,0.5g
"Classic Chocolate Frosty, Medium",N/A,12g,79g,13g,65g,0g,210mg,50mg,470,8g,0.5g
"Classic Chocolate Frosty, Small",N/A,9g,58g,10g,47g,0g,150mg,35mg,350,6g,0g
"Vanilla Frosty, Junior",N/A,5g,32g,5g,27g,0g,90mg,25mg,190,3.5g,0g
"Vanilla Frosty, Large",N/A,15g,94g,15g,78g,0g,260mg,70mg,570,10g,0.5g
"Vanilla Frosty, Medium",N/A,12g,75g,12g,63g,0g,210mg,55mg,450,8g,0.5g
"Vanilla Frosty, Small",N/A,9g,56g,9g,47g,0g,160mg,45mg,340,6g,0g
Chocolate Chunk Cookie,N/A,16g,40g,3g,24g,2g,210mg,20mg,310,8g,0g
Double Chocolate Chunk Cookie,N/A,14g,39g,4g,21g,4g,230mg,20mg,290,7g,0g
Sugar Cookie,N/A,16g,43g,3g,24g,1g,300mg,25mg,330,8g,0g
Kids 2 Piece Chicken Tenders,N/A,10g,13g,15g,0g,0g,620mg,45mg,200,1.5g,0g
Kids 4 Piece Chicken Nuggets,N/A,11g,10g,9g,0g,0g,340mg,35mg,170,2g,0g
Kids Cheeseburger,N/A,13g,25g,15g,5g,1g,540mg,50mg,280,6g,0.5g
Kids Grilled Chicken Wrap,N/A,10g,24g,20g,3g,2g,640mg,55mg,270,3.5g,0g
Kids Hamburger,N/A,9g,24g,13g,5g,1g,350mg,40mg,240,3.5g,0.5g
Artisan Egg Sandwich with Bacon,N/A,17g,25g,18g,4g,1g,750mg,245mg,320,8g,0g
Artisan Egg Sandwich with Sausage,N/A,33g,27g,21g,4g,1g,980mg,275mg,480,13g,0g
Bacon Breakfast Bowl,N/A,28g,44g,19g,2g,4g,1390mg,245mg,510,9g,0g
Biggie Breakfast Sandwich,N/A,40g,37g,27g,7g,2g,1400mg,290mg,610,15g,0g
Fresh-Baked Biscuit with Applewood Smoked Bacon,N/A,24g,34g,15g,5g,1g,970mg,235mg,410,13g,0g
Fresh Baked Biscuit with Natural Sausage,N/A,41g,36g,20g,6g,1g,1270mg,270mg,590,19g,0g
Gravy and Sausage Bowl,N/A,22g,50g,12g,2g,4g,1260mg,220mg,450,6g,0g
Honey Butter Chicken Biscuit,N/A,26g,48g,19g,9g,1g,1120mg,50mg,500,12g,0g
Sausage and Egg Burrito,N/A,20g,29g,17g,2g,1g,920mg,210mg,360,8g,0g
Sausage and Gravy Biscuit,N/A,29g,49g,8g,6g,2g,1400mg,20mg,490,14g,0g
Sausage Biscuit,N/A,33g,35g,12g,5g,1g,1010mg,50mg,480,15g,0g
Sausage Breakfast Bowl,N/A,42g,46g,21g,3g,4g,1540mg,270mg,640,14g,0g
"Seasoned Home-Style Potatoes, Large",N/A,13g,57g,5g,1g,6g,1080mg,0mg,360,2.5g,0g
"Seasoned Home-Style Potatoes, Medium",N/A,9g,39g,4g,1g,4g,750mg,0mg,250,1.5g,0g
"Seasoned Home-Style Potatoes, Small",N/A,8g,35g,3g,0g,4g,680mg,0mg,230,1.5g,0g
Two Sausage and Egg Burritos,N/A,41g,59g,34g,5g,2g,1830mg,420mg,720,16g,0g
Two Sausage Biscuits,N/A,65g,70g,23g,10g,3g,2020mg,95mg,960,31g,0g
