Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Fresh-Baked Biscuit with Applewood Smoked Bacon,,24.0,34,15,5,1,970,235,410,13.0,0.0,1.69,0.5528455284552846,3.8211382113821135,1.4634146341463414,1.5204307887234718,1.9715447154471544,3.1707317073170733
Fresh Baked Biscuit with Natural Sausage,,41.0,36,20,6,1,1270,270,590,19.0,0.0,2.19,0.4067796610169492,3.050847457627119,1.3559322033898304,1.8049746863306186,1.7937853107344635,3.2203389830508473
Gravy and Sausage Bowl,,22.0,50,12,2,4,1260,220,450,6.0,0.0,1.49,0.7407407407407407,3.259259259259259,1.0666666666666667,1.26984126984127,2.3333333333333335,1.3333333333333335
Honey Butter Chicken Biscuit,,26.0,48,19,9,1,1120,50,500,12.0,0.0,4.69,0.64,0.6666666666666667,1.52,1.3506493506493507,1.866666666666667,2.4
Sausage and Egg Burrito,,20.0,29,17,2,1,920,210,360,8.0,0.0,0.99,0.5370370370370371,3.8888888888888893,1.8888888888888888,1.4430014430014428,2.1296296296296298,2.2222222222222223
Sausage and Gravy Biscuit,,29.0,49,8,6,2,1400,20,490,14.0,0.0,0.99,0.6666666666666667,0.27210884353741494,0.653061224489796,1.5372382719321496,2.380952380952381,2.857142857142857
Sausage Biscuit,,33.0,35,12,5,1,1010,50,480,15.0,0.0,3.39,0.48611111111111116,0.6944444444444445,1.0,1.7857142857142858,1.753472222222222,3.125
Sausage Breakfast Bowl,,42.0,46,21,3,4,1540,270,640,14.0,0.0,2.19,0.47916666666666663,2.8125,1.3125,1.7045454545454546,2.0052083333333335,2.1875
"Seasoned Home-Style Potatoes, Large",,13.0,57,5,1,6,1080,0,360,2.5,0.0,2.69,1.0555555555555556,0.0,0.5555555555555556,0.9379509379509379,2.5,0.6944444444444444
"Seasoned Home-Style Potatoes, Medium",,9.0,39,4,1,4,750,0,250,1.5,0.0,2.29,1.04,0.0,0.64,0.9350649350649349,2.5,0.6
"Seasoned Home-Style Potatoes, Small",,8.0,35,3,0,4,680,0,230,1.5,0.0,1.99,1.0144927536231885,0.0,0.5217391304347826,0.9034443817052513,2.463768115942029,0.6521739130434783
Two Sausage and Egg Burritos,,41.0,59,34,5,2,1830,420,720,16.0,0.0,0.99,0.5462962962962963,3.8888888888888893,1.8888888888888888,1.479076479076479,2.1180555555555554,2.2222222222222223
Two Sausage Biscuits,,65.0,70,23,10,3,2020,95,960,31.0,0.0,3.39,0.48611111111111116,0.6597222222222222,0.9583333333333334,1.7586580086580086,1.753472222222222,3.229166666666667
