Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"Super Nachos, Ground Beef",,51.0,95,33,5,15,1770,65,970,12.0,1.0,3.29,0.6529209621993127,0.44673539518900346,1.360824742268041,1.3656446646137368,1.5206185567010309,1.2371134020618557
"Super Nachos, Steak",,46.0,94,33,6,13,2140,70,930,11.0,0.0,3.29,0.6738351254480287,0.5017921146953406,1.4193548387096775,1.2847367686077362,1.9175627240143371,1.1827956989247312
"Taco Salad, Chicken",,39.0,67,40,8,11,1710,90,770,12.0,0.0,1.89,0.5800865800865801,0.7792207792207793,2.077922077922078,1.315567549333783,1.8506493506493509,1.5584415584415585
"Taco Salad, Ground Beef",,47.0,70,38,8,14,1760,85,850,15.0,1.0,1.89,0.5490196078431373,0.6666666666666667,1.7882352941176471,1.436210847975554,1.7254901960784317,1.7647058823529411
"Taco Salad, Steak",,43.0,69,38,8,11,2130,85,810,14.0,0.0,1.89,0.5679012345679012,0.6995884773662552,1.8765432098765433,1.3788680455347122,2.1913580246913584,1.728395061728395
"Hard Taco, Ground Beef",,12.0,15,11,1,3,340,35,210,5.0,0.0,1.99,0.47619047619047616,1.1111111111111112,2.0952380952380953,1.484230055658627,1.3492063492063493,2.380952380952381
Southwest Chicken Soft Taco,,19.0,17,15,1,1,680,50,300,6.0,0.0,1.99,0.37777777777777777,1.1111111111111112,2.0,1.645021645021645,1.8888888888888888,2.0
"Street Taco, Chicken",,6.0,13,10,1,1,270,30,140,3.5,0.0,1.99,0.6190476190476191,1.4285714285714286,2.8571428571428568,1.1131725417439704,1.6071428571428572,2.5
"Street Taco, Steak",,7.0,14,9,1,1,480,25,160,4.0,0.0,1.19,0.5833333333333334,1.0416666666666667,2.25,1.1363636363636362,2.5,2.5
Chocolate Malt,,37.0,99,14,70,1,350,105,770,25.0,1.5,0.89,0.8571428571428571,0.9090909090909091,0.7272727272727273,1.2481025468038456,0.3787878787878788,3.2467532467532463
Chocolate Shake,,36.0,84,12,59,1,300,105,700,25.0,1.5,0.89,0.8,1.0,0.6857142857142857,1.3358070500927643,0.35714285714285715,3.571428571428571
OREO Cookie Malt,,40.0,94,15,64,1,390,105,780,26.0,1.5,0.89,0.8034188034188035,0.8974358974358975,0.7692307692307693,1.332001332001332,0.4166666666666667,3.3333333333333335
OREO Cookie Shake,,39.0,79,13,53,1,340,105,710,25.0,1.5,0.89,0.7417840375586855,0.9859154929577465,0.7323943661971831,1.4267422718126943,0.39906103286384975,3.5211267605633805
Strawberry Malt,,37.0,98,13,75,0,290,105,770,25.0,1.5,1.69,0.8484848484848484,0.9090909090909091,0.6753246753246753,1.2481025468038456,0.3138528138528139,3.2467532467532463
Strawberry Shake,,36.0,83,12,63,0,250,105,700,24.0,1.5,1.99,0.7904761904761906,1.0,0.6857142857142857,1.3358070500927643,0.2976190476190476,3.428571428571429
Vanilla Malt,,36.0,100,13,76,0,290,105,770,25.0,1.5,1.69,0.8658008658008658,0.9090909090909091,0.6753246753246753,1.2143700455388768,0.3138528138528139,3.2467532467532463
Vanilla Shake,,35.0,86,12,65,0,240,105,700,24.0,1.5,2.99,0.8190476190476191,1.0,0.6857142857142857,1.2987012987012987,0.28571428571428575,3.428571428571429
Charbroiled Chicken Salad (add dressing),,11.0,27,31,10,3,770,75,320,3.5,0.0,5.29,0.5625000000000001,1.5625,3.875,0.8928571428571429,2.0052083333333335,1.09375
Garden Side Salad (add dressing),,4.5,14,4,3,2,230,5,110,1.5,0.0,1.69,0.8484848484848484,0.30303030303030304,1.4545454545454546,1.062573789846517,1.7424242424242424,1.3636363636363635
CrissCut Fries,,29.0,42,5,0,4,900,0,450,5.0,0.0,2.19,0.6222222222222222,0.0,0.4444444444444445,1.6738816738816737,1.6666666666666667,1.1111111111111112
Fried Zucchini,,18.0,36,6,7,2,610,0,330,3.0,0.0,5.29,0.7272727272727273,0.0,0.7272727272727273,1.4167650531286895,1.5404040404040404,0.9090909090909091
"Natural-Cut Fries, Kids",,12.0,31,3,0,3,480,0,240,2.0,0.0,1.99,0.8611111111111113,0.0,0.5,1.2987012987012987,1.6666666666666667,0.8333333333333334
"Natural-Cut Fries, Large",,22.0,59,5,0,6,920,0,460,4.0,0.0,2.19,0.8550724637681161,0.0,0.43478260869565216,1.2422360248447206,1.6666666666666667,0.8695652173913043
"Natural-Cut Fries, Medium",,21.0,55,5,0,5,860,0,430,4.0,0.0,1.99,0.8527131782945737,0.0,0.46511627906976744,1.2684989429175475,1.6666666666666667,0.9302325581395349
"Natural-Cut Fries, Small",,15.0,39,3,0,4,600,0,300,2.5,0.0,1.79,0.8666666666666667,0.0,0.4,1.2987012987012987,1.6666666666666667,0.8333333333333334
Onion Rings,,28.0,61,8,6,3,590,0,530,4.5,0.0,2.19,0.7672955974842768,0.0,0.6037735849056604,1.3722126929674099,0.9276729559748428,0.8490566037735849
