Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Mashed Potatoes With Gravy (Fill Up Meal),187.0,5.0,23,3,0,2,650,0,150,1.5,0,1.79,1.0222222222222221,0.0,0.8,0.8658008658008658,3.611111111111111,1.0
Potato Wedges,107.5,13.0,34,4,0,3,700,0,270,1.5,0,3.59,0.8395061728395061,0.0,0.5925925925925926,1.2506012506012505,2.160493827160494,0.5555555555555556
Sweet Kernel Corn,95.0,0.5,20,3,2,2,0,0,80,0.0,0,3.59,1.6666666666666667,0.0,1.5,0.16233766233766234,0.0,0.0
BBQ Baked Beans (Family),498.6,5.0,142,45,61,29,2690,0,790,1.0,0,3.59,1.1983122362869199,0.0,2.2784810126582276,0.1643925694558606,2.8375527426160336,0.12658227848101267
Coleslaw (Family),415.0,45.0,53,4,37,14,660,10,630,7.0,0,3.59,0.5608465608465609,0.10582010582010581,0.25396825396825395,1.8552875695732838,0.8730158730158731,1.1111111111111112
Corn on the Cob (Family),284.0,2.0,67,9,11,8,15,0,280,0.0,0,5.49,1.5952380952380953,0.0,1.2857142857142856,0.18552875695732837,0.044642857142857144,0.0
Green Beans (Family),342.0,0.5,17,5,3,10,1040,0,90,0.0,0,3.59,1.2592592592592593,0.0,2.2222222222222223,0.14430014430014432,9.62962962962963,0.0
Macaroni & Cheese (Family),456.9,23.0,66,18,8,5,2230,10,540,6.0,0,3.59,0.8148148148148148,0.12345679012345678,1.3333333333333333,1.1063011063011063,3.4413580246913584,1.1111111111111112
Macaroni Salad (Family),335.0,28.0,50,3,30,0,990,55,480,3.5,0,1.79,0.6944444444444445,0.7638888888888888,0.25,1.5151515151515151,1.71875,0.7291666666666666
Mashed Potatoes (Family),458.0,13.0,66,9,0,6,1290,0,420,2.5,0,3.59,1.0476190476190477,0.0,0.8571428571428572,0.8039579468150897,2.5595238095238098,0.5952380952380952
Mashed Potatoes With Gravy (Family),693.0,19.0,82,12,1,6,2470,0,550,5.0,0,1.79,0.9939393939393939,0.0,0.8727272727272728,0.8972845336481701,3.7424242424242427,0.9090909090909091
Potato Salad (Family),405.0,98.0,65,8,12,8,1010,80,1200,16.0,0,3.59,0.36111111111111116,0.4444444444444445,0.26666666666666666,2.121212121212121,0.701388888888889,1.3333333333333335
Potato Wedges (Family),451.9,54.0,143,16,0,14,2930,0,1120,6.0,0,3.59,0.8511904761904762,0.0,0.5714285714285714,1.2523191094619666,2.1800595238095237,0.5357142857142857
Sweet Kernel Corn (Family),312.0,2.5,65,9,8,7,10,0,270,0.0,0,3.59,1.6049382716049383,0.0,1.3333333333333333,0.2405002405002405,0.030864197530864196,0.0
Chicken Littles®,101.8,15.0,27,14,3,1,620,30,300,2.5,0,5.19,0.6,0.6666666666666667,1.8666666666666667,1.2987012987012987,1.7222222222222225,0.8333333333333334
Colonel's Crispy Sandwich,178.5,25.0,37,24,3,2,1170,60,460,3.5,0,5.39,0.536231884057971,0.8695652173913043,2.0869565217391304,1.411631846414455,2.1195652173913047,0.7608695652173914
Crispy Twister®,234.6,34.0,53,28,3,4,1260,70,630,7.0,0,1.39,0.5608465608465609,0.7407407407407407,1.777777777777778,1.401772830344259,1.6666666666666667,1.1111111111111112
Georgia Gold Chicken Littles®,105.5,18.0,27,14,4,1,650,30,330,2.5,0,5.19,0.5454545454545455,0.6060606060606061,1.696969696969697,1.4167650531286895,1.6414141414141414,0.7575757575757576
Georgia Gold Sandwich,186.8,31.0,38,24,4,2,1250,60,530,4.5,0,5.99,0.4779874213836478,0.7547169811320755,1.811320754716981,1.5192354814996325,1.9654088050314467,0.8490566037735849
Honey BBQ Sandwich,165.9,4.0,53,24,21,3,1350,55,340,0.5,0,5.99,1.0392156862745099,1.0784313725490198,2.8235294117647056,0.30557677616501144,3.308823529411765,0.14705882352941177
Hot Honey Chicken Littles®,108.6,18.0,28,14,5,1,720,30,330,2.5,0,5.19,0.5656565656565657,0.6060606060606061,1.696969696969697,1.4167650531286895,1.8181818181818181,0.7575757575757576
Hot Honey Sandwich,190.8,30.0,40,24,6,2,1360,60,520,4.5,0,5.99,0.5128205128205129,0.7692307692307693,1.8461538461538463,1.4985014985014986,2.1794871794871797,0.8653846153846154
Nashville Hot Chicken Littles®,107.4,19.0,27,14,3,1,680,30,340,3.0,0,5.19,0.5294117647058824,0.5882352941176471,1.6470588235294117,1.4514896867838045,1.6666666666666667,0.8823529411764706
Nashville Hot Sandwich,188.2,33.0,38,24,4,2,1290,60,530,4.5,0,5.99,0.4779874213836478,0.7547169811320755,1.811320754716981,1.6172506738544474,2.028301886792453,0.8490566037735849
Smoky Mountain BBQ Chicken Littles®,106.9,18.0,28,14,5,1,630,30,330,2.5,0,5.19,0.5656565656565657,0.6060606060606061,1.696969696969697,1.4167650531286895,1.590909090909091,0.7575757575757576
Smoky Mountain BBQ Sandwich,189.2,31.0,41,24,7,2,1200,60,540,4.5,0,5.99,0.5061728395061729,0.7407407407407407,1.777777777777778,1.491101491101491,1.851851851851852,0.8333333333333334
Chicken Pot Pie,380.0,41.0,60,26,5,7,1750,80,720,25.0,0,1.39,0.5555555555555556,0.7407407407407407,1.4444444444444442,1.479076479076479,2.025462962962963,3.4722222222222223
KFC® Famous Bowl,530.4,34.0,79,26,3,6,2370,45,720,7.0,0,6.19,0.7314814814814815,0.4166666666666667,1.4444444444444442,1.2265512265512266,2.7430555555555554,0.9722222222222222
KFC® Famous Bowl - Snack Size,182.4,13.0,27,11,1,2,820,20,270,3.5,0,6.19,0.6666666666666667,0.49382716049382713,1.6296296296296298,1.2506012506012505,2.5308641975308643,1.2962962962962963
Caesar Side Salad,91.2,2.0,2,3,1,1,90,5,40,1.0,0,1.79,0.33333333333333337,0.8333333333333334,3.0,1.2987012987012987,1.875,2.5
Café Valley Chocolate Chip Cake (1 Slice),76.0,15.0,39,4,27,1,260,50,300,3.0,0,3.99,0.8666666666666667,1.1111111111111112,0.5333333333333333,1.2987012987012987,0.7222222222222223,1.0
Café Valley Mini Chocolate Chip Cake,85.0,12.0,49,3,35,1,190,40,300,2.5,0,3.99,1.088888888888889,0.888888888888889,0.4,1.0389610389610389,0.5277777777777778,0.8333333333333334
Café Valley Mini Lemon Cake,85.0,13.0,43,3,31,0,230,50,300,2.5,0,3.99,0.9555555555555556,1.1111111111111112,0.4,1.1255411255411256,0.638888888888889,0.8333333333333334
Oreo Cookies and Crème Pie,74.0,13.0,35,3,24,1,210,5,270,8.0,0,1.29,0.8641975308641975,0.12345679012345678,0.4444444444444445,1.2506012506012505,0.6481481481481481,2.9629629629629632
Reese's Peanut Butter Pie,71.0,17.0,33,5,22,1,270,5,300,9.0,0,3.59,0.7333333333333334,0.11111111111111112,0.6666666666666666,1.4718614718614718,0.75,3.0
Country Fried Steak without Peppered White Gravy,105.9,24.0,22,13,0,2,750,35,360,7.0,1,2.29,0.4074074074074074,0.6481481481481481,1.4444444444444442,1.7316017316017316,1.7361111111111114,1.9444444444444444
Country Fried Steak with Peppered White Gravy,150.4,26.0,26,13,0,2,910,35,390,7.0,1,2.29,0.4444444444444445,0.5982905982905983,1.3333333333333333,1.7316017316017316,1.9444444444444446,1.7948717948717947
KFC® Gizzards,85.0,16.0,18,20,0,1,770,210,300,2.0,0,6.19,0.4,4.666666666666667,2.6666666666666665,1.3852813852813854,2.1388888888888893,0.6666666666666667
KFC® Livers,85.0,13.0,12,17,0,0,750,285,230,2.5,0,5.19,0.34782608695652173,8.26086956521739,2.956521739130435,1.4680971202710333,2.717391304347826,1.0869565217391304
