Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Spicy Chicken Biscuit,170.0,29.0,44,25,3,2,1110,50,550,9.0,0.0,4.59,0.5333333333333333,0.6060606060606061,1.8181818181818183,1.369539551357733,1.6818181818181819,1.6363636363636365
Supreme Croissant,148.0,27.0,32,19,4,2,890,260,450,12.0,0.5,3.29,0.4740740740740741,3.8518518518518516,1.6888888888888889,1.5584415584415583,1.6481481481481484,2.666666666666667
Ultimate Breakfast Sandwich,214.0,31.0,30,3,4,1,1540,490,520,11.0,0.0,3.49,0.38461538461538464,6.282051282051282,0.23076923076923078,1.5484515484515484,2.467948717948718,2.1153846153846154
Chick-N-Tater Melt Munchie Meal,1213.0,109.0,220,44,76,13,3470,120,2010,28.0,1.5,5.49,0.7296849087893864,0.39800995024875624,0.8756218905472637,1.4085417070491697,1.4386401326699836,1.3930348258706469
Halfsies (a al carte),122.0,21.0,46,5,0,4,810,0,390,2.0,0.0,2.49,0.7863247863247863,0.0,0.5128205128205128,1.3986013986013988,1.730769230769231,0.5128205128205128
Halfsies (in Munchie Meal),140.0,24.0,53,5,0,4,930,0,450,2.0,0.0,4.99,0.7851851851851852,0.0,0.4444444444444445,1.3852813852813854,1.7222222222222225,0.4444444444444444
Spicy Nacho Chicken Munchie Meal,1199.0,80.0,224,48,78,13,3260,80,1790,14.0,1.0,4.59,0.8342644320297953,0.297951582867784,1.0726256983240223,1.1608503228614961,1.5176908752327747,0.782122905027933
Sriracha Curly Fry Burger Munchie Meal,1121.0,87.0,196,44,75,11,2700,105,1720,20.0,2.5,1.99,0.7596899224806202,0.4069767441860465,1.0232558139534884,1.3138024765931742,1.3081395348837208,1.1627906976744187
Stacked Grilled Cheese Burger Munchie Meal,1241.0,94.0,213,56,79,13,3660,130,1890,27.0,2.5,4.69,0.7513227513227514,0.4585537918871252,1.1851851851851851,1.2918298632584346,1.6137566137566137,1.4285714285714286
"Milk, Low Fat",214.0,2.0,12,9,12,0,130,10,110,1.5,0.0,1.29,0.7272727272727273,0.6060606060606061,3.2727272727272725,0.47225501770956313,0.984848484848485,1.3636363636363635
Chocolate Overload Cake,93.0,7.0,57,4,34,2,350,40,300,1.5,0.0,1.79,1.2666666666666668,0.888888888888889,0.5333333333333333,0.6060606060606061,0.9722222222222223,0.5
Mini Churros (5 pc.),86.0,18.0,42,4,12,2,280,5,350,3.5,0.0,1.00,0.8,0.09523809523809523,0.45714285714285713,1.3358070500927643,0.6666666666666667,1.0
Mini Churros (10 pc.),172.0,37.0,84,7,25,4,550,10,690,7.0,0.0,1.99,0.8115942028985508,0.0966183574879227,0.40579710144927533,1.3928100884622623,0.6642512077294687,1.0144927536231882
New York Style Cheesecake,92.0,17.0,32,7,22,1,260,25,310,9.0,0.0,1.59,0.6881720430107527,0.5376344086021505,0.9032258064516129,1.42438206954336,0.6989247311827957,2.903225806451613
