Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Pancake and Sausage Platter,217.0,31.0,72,12,30,1,1010,80,610,9.0,0.0,0.786885246,0.87431694,1.319991484,1.379781421,0.131147541,$3.69
Quaker Oatmeal Maple Flavor,172.0,3.0,32,4,12,3,270,5,170,1.5,0.0,1.2549019609999998,0.19607843100000003,0.458365164,1.323529412,0.156862745,$1.99
"Sausage, Egg, & Cheese Biscuit",189.0,38.0,29,19,3,1,1440,195,530,17.0,0.0,0.364779874,2.452830189,1.862288655,2.264150943,0.23899371100000003,$5.59
"Sausage, Egg, Cheese & Hash Brown Burrito",143.0,23.0,27,15,2,3,930,150,370,8.0,0.0,0.486486486,2.702702703,1.614601615,2.094594595,0.27027027,0
Sausage Biscuit,121.0,28.0,28,12,2,1,1050,35,420,6.0,0.0,0.444444444,0.5555555560000001,1.731601732,2.083333333,0.19047619,$1.00
Caramel Sundae,153.0,6.0,53,6,39,0,260,25,290,4.0,0.0,1.218390805,0.574712644,0.537393641,0.747126437,0.137931034,$3.59
Chocolate Chip Cookies,76.0,15.0,47,3,29,1,250,20,330,8.0,0.0,0.9494949490000001,0.40404040399999996,1.180637544,0.631313131,0.060606060999999996,$2.00
Dutch Apple Pie,107.0,14.0,51,3,25,1,310,0,340,6.0,0.0,1.0,0.0,1.069518717,0.759803922,0.058823529000000006,$1.29
Hershey's Chocolate Sundae,153.0,7.0,47,6,41,1,220,20,280,5.0,0.0,1.119047619,0.47619047600000003,0.649350649,0.654761905,0.14285714300000002,$1.49
Hershey's Sundae Pie,79.0,19.0,32,3,22,1,220,10,310,12.0,0.0,0.688172043,0.215053763,1.5919564309999998,0.591397849,0.064516129,$1.69
Oatmeal Raisin Cookies,76.0,13.0,46,4,26,3,260,20,310,8.0,0.0,0.989247312,0.43010752700000005,1.089233347,0.698924731,0.086021505,$4.49
Oreo Cookie Cheesecake,92.0,18.0,41,6,25,1,310,35,350,8.0,0.0,0.780952381,0.666666667,1.33580705,0.738095238,0.11428571400000001,$1.00
Pie Made with Twix,102.0,20.0,45,4,30,1,330,10,370,13.0,0.0,0.810810811,0.18018018,1.404001404,0.743243243,0.072072072,0
