Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"Sausage, Egg & Cheese Biscuit",158.0,38.0,27.0,18.0,3.0,2.0,1240.0,265.0,530.0,16.0,0.0,0.339622641509434,3.333333333333333,1.8622886547414848,1.949685534591195,0.22641509433962265,$3.99
Sausage Biscuit,107.0,29.0,26.0,11.0,3.0,2.0,960.0,30.0,430.0,12.0,0.0,0.4031007751937984,0.4651162790697674,1.751736635457566,1.8604651162790695,0.17054263565891473,$1.69
Sausage Breakfast Jack,152.0,34.0,30.0,19.0,4.0,1.0,920.0,265.0,500.0,11.0,0.5,0.4,3.5333333333333337,1.7662337662337664,1.5333333333333334,0.2533333333333333,0
Sausage Croissant,159.0,39.0,32.0,19.0,3.0,2.0,760.0,275.0,560.0,16.0,0.5,0.3809523809523809,3.273809523809524,1.808905380333952,1.1309523809523812,0.2261904761904762,$4.69
Sourdough Breakfast Melt,152.0,21.0,35.0,20.0,4.0,2.0,1010.0,250.0,410.0,8.0,0.0,0.5691056910569107,4.0650406504065035,1.3303769401330376,2.0528455284552845,0.3252032520325204,0
Spicy Chicken Biscuit,170.0,29.0,44.0,25.0,3.0,2.0,1110.0,50.0,550.0,9.0,0.0,0.5333333333333333,0.6060606060606061,1.369539551357733,1.681818181818182,0.30303030303030304,0
Supreme Croissant,148.0,27.0,32.0,19.0,4.0,2.0,890.0,260.0,450.0,12.0,0.5,0.4740740740740741,3.851851851851852,1.5584415584415583,1.6481481481481484,0.2814814814814815,$4.69
Ultimate Breakfast Sandwich,214.0,31.0,30.0,3.0,4.0,1.0,1540.0,490.0,520.0,11.0,0.0,0.38461538461538464,6.282051282051282,1.5484515484515484,2.4679487179487185,0.038461538461538464,$4.89
Chick-N-Tater Melt Munchie Meal,1213.0,109.0,220.0,44.0,76.0,13.0,3470.0,120.0,2010.0,28.0,1.5,0.7296849087893864,0.39800995024875613,1.4085417070491697,1.4386401326699836,0.1459369817578773,0
Halfsies (a al carte),122.0,21.0,46.0,5.0,0.0,4.0,810.0,0.0,390.0,2.0,0.0,0.7863247863247863,0.0,1.3986013986013988,1.730769230769231,0.08547008547008547,0
Halfsies (in Munchie Meal),140.0,24.0,53.0,5.0,0.0,4.0,930.0,0.0,450.0,2.0,0.0,0.7851851851851852,0.0,1.3852813852813854,1.7222222222222223,0.07407407407407407,0
Spicy Nacho Chicken Munchie Meal,1199.0,80.0,224.0,48.0,78.0,13.0,3260.0,80.0,1790.0,14.0,1.0,0.8342644320297953,0.297951582867784,1.160850322861496,1.517690875232775,0.1787709497206704,0
Sriracha Curly Fry Burger Munchie Meal,1121.0,87.0,196.0,44.0,75.0,11.0,2700.0,105.0,1720.0,20.0,2.5,0.7596899224806202,0.4069767441860465,1.3138024765931742,1.3081395348837208,0.17054263565891473,$2.69
Stacked Grilled Cheese Burger Munchie Meal,1241.0,94.0,213.0,56.0,79.0,13.0,3660.0,130.0,1890.0,27.0,2.5,0.7513227513227514,0.4585537918871252,1.2918298632584346,1.6137566137566135,0.19753086419753088,0
