Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Cherry Coke, Large",906g,0g,116g,0g,116g,0g,50mg,0mg,430,0g,0g
"Cherry Coke, Medium",907g,0g,116g,0g,116g,0g,50mg,0mg,430,0g,0g
"Cherry Coke, Small",447g,0g,57g,0g,57g,0g,25mg,0mg,210,0g,0g
"Chocolate Malt, 16 oz",343g,9g,84g,8g,82g,1g,390mg,35mg,450,5g,0g
"Chocolate Malt, 20 oz",429g,11g,109g,10g,106g,2g,490mg,45mg,570,7g,0g
"Chocolate Malt, 32 oz",686g,18g,168g,15g,164g,2g,790mg,70mg,900,11g,0g
Chocolate Milk Low Fat 1%,236g,3g,27g,8g,25g,0g,220mg,10mg,160,2g,0g
"Chocolate Shake, 16 oz",343g,9g,79g,8g,77g,1g,400mg,40mg,430,6g,0g
"Chocolate Shake, 20 oz",429g,12g,101g,10g,99g,2g,500mg,45mg,550,7g,0g
"Chocolate Shake, 32 oz",686g,19g,158g,16g,154g,2g,800mg,75mg,860,11g,0g
Coca-Cola Classic,907g,0g,112g,0g,112g,0g,45mg,0mg,410,0g,0g
"Coca-Cola Classic, Kids",454g,0g,56g,0g,56g,0g,25mg,0mg,210,0g,0g
"Coca-Cola Classic, Large",906g,0g,112g,0g,112g,0g,45mg,0mg,410,0g,0g
"Coca-Cola Classic, Medium",907g,0g,112g,0g,112g,0g,45mg,0mg,410,0g,0g
"Coca-Cola Classic, Small",567g,0g,70g,0g,70g,0g,30mg,0mg,260,0g,0g
"Coffee, Large",592g,0g,0g,1g,0g,0g,15mg,0mg,5,0g,0g
"Coffee, Medium",474g,0g,0g,1g,0g,0g,10mg,0mg,0,0g,0g
"Coffee Decaf, Large",592g,1g,2g,1g,1g,0g,15mg,0mg,0,0g,0g
"Coffee Decaf, Medium",474g,0g,2g,0g,0g,0g,10mg,0mg,0,0g,0g
"Coffee Decaf, Small",355g,0g,1g,0g,0g,0g,10mg,0mg,0,0g,0g
"Colombian Coffee, Large",592g,0g,0g,1g,0g,0g,15mg,0mg,5,0g,0g
"Colombian Coffee, Medium",474g,0g,0g,1g,0g,0g,10mg,0mg,0,0g,0g
"Colombian Coffee, Small",355g,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g
"Decaf Colombian Coffee, Large",592g,1g,2g,1g,1g,0g,15mg,0mg,0,0g,0g
"Decaf Colombian Coffee, Medium",474g,0g,2g,0g,0g,0g,10mg,0mg,0,0g,0g
"Decaf Colombian Coffee, Small",355g,0g,1g,0g,0g,0g,10mg,0mg,0,0g,0g
Diet Coke,907g,0g,1g,0g,0g,0g,70mg,0mg,0,0g,0g
"Diet Coke, Kids",336g,0g,0g,0g,0g,0g,25mg,0mg,0,0g,0g
"Diet Coke, Large",905g,0g,1g,0g,0g,0g,70mg,0mg,0,0g,0g
"Diet Coke, Medium",907g,0g,1g,0g,0g,0g,70mg,0mg,0,0g,0g
"Diet Coke, Small",447g,0g,0g,0g,0g,0g,35mg,0mg,0,0g,0g
Diet Dr Pepper,907g,0g,1g,0g,0g,0g,110mg,0mg,0,0g,0g
"Diet Dr Pepper, Kids",336g,0g,0g,0g,0g,0g,40mg,0mg,0,0g,0g
"Diet Dr Pepper, Large",905g,0g,1g,0g,0g,0g,110mg,0mg,0,0g,0g
"Diet Dr Pepper, Medium",907g,0g,1g,0g,0g,0g,110mg,0mg,0,0g,0g
"Diet Dr Pepper, Small",447g,0g,0g,0g,0g,0g,55mg,0mg,0,0g,0g
Dr Pepper,907g,0g,104g,0g,102g,0g,40mg,0mg,380,0g,0g
"Dr Pepper, Kids",336g,0g,38g,0g,38g,0g,15mg,0mg,140,0g,0g
"Dr Pepper, Large",906g,0g,104g,0g,102g,0g,40mg,0mg,380,0g,0g
"Dr Pepper, Medium",907g,0g,104g,0g,102g,0g,40mg,0mg,380,0g,0g
"Dr Pepper, Small",447g,0g,51g,0g,50g,0g,20mg,0mg,190,0g,0g
Fanta Orange,907g,0g,119g,0g,117g,0g,55mg,0mg,440,0g,0g
"Fanta Orange, Large",906g,0g,119g,0g,117g,0g,55mg,0mg,440,0g,0g
"Fanta Orange, Medium",907g,0g,119g,0g,117g,0g,55mg,0mg,440,0g,0g
"Fanta Orange, Small",447g,0g,59g,0g,58g,0g,25mg,0mg,220,0g,0g
Fanta Orange Kids,336g,0g,44g,0g,43g,0g,20mg,0mg,160,0g,0g
Fanta Strawberry,907g,0g,115g,0g,115g,0g,45mg,0mg,430,0g,0g
"Fanta Strawberry, Medium",907g,0g,115g,0g,115g,0g,45mg,0mg,430,0g,0g
"Fanta Strawberry, Small",447g,0g,57g,0g,57g,0g,25mg,0mg,210,0g,0g
Fanta Strawberry Kids,336g,0g,43g,0g,43g,0g,20mg,0mg,160,0g,0g
"Low Fat Chocolate, Milk",236g,3g,27g,8g,25g,0g,220mg,10mg,160,2g,0g
Low Fat Milk,236g,3g,13g,8g,12g,0g,130mg,10mg,110,2g,0g
Minute Maid Light Lemonade,907g,0g,5g,0g,0g,0g,55mg,0mg,20,0g,0g
"Minute Maid Light Lemonade, Kids",336g,0g,2g,0g,0g,0g,20mg,0mg,10,0g,0g
"Minute Maid Light Lemonade, Large",906g,0g,5g,0g,0g,0g,55mg,0mg,20,0g,0g
"Minute Maid Light Lemonade, Medium",907g,0g,5g,0g,0g,0g,55mg,0mg,20,0g,0g
"Minute Maid Light Lemonade, Small",447g,0g,3g,0g,0g,0g,25mg,0mg,10,0g,0g
Powerade Fruit Punch,907g,0g,65g,0g,61g,0g,260mg,0mg,240,0g,0g
"Powerade Fruit Punch, Kids",336g,0g,24g,0g,23g,0g,95mg,0mg,90,0g,0g
"Powerade Fruit Punch, Medium",907g,0g,65g,0g,61g,0g,260mg,0mg,240,0g,0g
"Powerade Fruit Punch, Small",447g,0g,32g,0g,30g,0g,130mg,0mg,120,0g,0g
"Salted Caramel Shake, 16 oz",343g,9g,77g,7g,74g,0g,720mg,40mg,430,5g,0g
"Salted Caramel Shake, 20 oz",429g,11g,99g,9g,95g,0g,990mg,45mg,540,7g,0g
"Salted Caramel Shake, 32 oz",686g,18g,154g,15g,149g,0g,1450mg,75mg,850,11g,0g
Simply Orange Juice,340g,0g,37g,2g,33g,0g,0mg,0mg,160,0g,0g
Sprite,907g,0g,108g,0g,108g,0g,120mg,0mg,400,0g,0g
"Sprite, Kids",336g,0g,40g,0g,40g,0g,45mg,0mg,150,0g,0g
"Sprite, Large",28g,0g,3g,0g,3g,0g,0mg,0mg,15,0g,0g
"Sprite, Medium",907g,0g,108g,0g,108g,0g,120mg,0mg,400,0g,0g
"Sprite, Small",447g,0g,53g,0g,53g,0g,60mg,0mg,200,0g,0g
"Strawberry Shake, 16 oz",343g,9g,79g,7g,79g,0g,380mg,40mg,430,5g,0g
"Strawberry Shake, 20 oz",429g,11g,102g,9g,102g,0g,470mg,45mg,550,7g,0g
"Strawberry Shake, 32 oz",686g,18g,158g,15g,158g,0g,760mg,75mg,870,11g,0g
"Tea, Large",948g,0g,3g,0g,0g,0g,30mg,0mg,10,0g,0g
"Tea, Medium",948g,0g,3g,0g,0g,0g,30mg,0mg,10,0g,0g
"Tea, Small",593g,0g,2g,0g,0g,0g,20mg,0mg,5,0g,0g
"Tea, Sweet, Kid's",474g,0g,40g,0g,39g,0g,15mg,0mg,160,0g,0g
"Tea, Sweet, Large",1128g,0g,117g,0g,114g,0g,35mg,0mg,450,0g,0g
"Tea, Sweet, Medium",899g,0g,84g,0g,82g,0g,25mg,0mg,330,0g,0g
"Tea, Sweet, Small",604g,0g,52g,0g,50g,0g,20mg,0mg,200,0g,0g
"Tea, Unsweetened, Kid's",435g,0g,1g,0g,0g,0g,15mg,0mg,0,0g,0g
"Tea, Unsweetened, Large",1014g,0g,3g,0g,0g,0g,30mg,0mg,10,0g,0g
"Tea, Unsweetened, Medium",817g,0g,2g,0g,0g,0g,25mg,0mg,10,0g,0g
"Tea, Unsweetened, Small",554g,0g,2g,0g,0g,0g,20mg,0mg,5,0g,0g
Tea Kids,351g,0g,1g,0g,0g,0g,10mg,0mg,0,0g,0g
"Vanilla Shake, 16 oz",343g,10g,68g,8g,68g,0g,400mg,40mg,400,6g,0g
"Vanilla Shake, 20 oz",429g,12g,85g,10g,85g,0g,500mg,50mg,500,7g,0g
"Vanilla Shake, 32 oz",686g,20g,136g,16g,136g,0g,800mg,80mg,800,12g,0g
Cream Gravy,85g,3g,8g,0g,1g,0g,410mg,0mg,60,2g,0g
Creamy Pepper Dipping Sauce,57g,24g,4g,1g,3g,0g,550mg,20mg,240,4g,0g
Fat Free Ranch Dressing,56g,0g,12g,0g,5g,1g,750mg,0mg,50,0g,0g
Honey BBQ Dipping Sauce,57g,0g,22g,0g,19g,0g,650mg,0mg,90,0g,0g
Honey Mustard Dressing,28g,8g,7g,0g,6g,0g,150mg,10mg,100,2g,0g
Low Fat Herb Vinaigrette Dressing,56g,1g,7g,0g,6g,0g,460mg,0mg,35,0g,0g
Low Fat Honey Pepper Vinaigrette,56g,4g,15g,0g,14g,0g,460mg,0mg,90,1g,0g
Thousand Island Dressing,56g,25g,8g,1g,7g,0g,540mg,25mg,260,4g,0g
"Bacon, 2 Slices",10g,4g,0g,4g,0g,0g,170mg,10mg,45,1g,0g
"Bacon, 3 Slices",14g,5g,0g,6g,0g,0g,250mg,15mg,70,2g,0g
Bun Oil For Green Chiles,3g,3g,0g,0g,0g,0g,0mg,0mg,30,0g,0g
Bun Oil For Grilled Onions,3g,3g,0g,0g,0g,0g,0mg,0mg,30,0g,0g
Bun Oil For Large Bun,6g,6g,0g,0g,0g,0g,0mg,0mg,50,1g,0g
Bun Oil For Small Bun,3g,3g,0g,0g,0g,0g,0mg,0mg,30,0g,0g
Bun Oil For Texas Toast,6g,6g,0g,0g,0g,0g,0mg,0mg,50,1g,0g
