Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Frozen Mocha,N/A,19g,84g,7g,63g,2g,115mg,55mg,530,11g,0g
Green Passion Smoothie,N/A,0g,51g,2g,47g,2g,30mg,0mg,200,0g,0g
"Hazelnut Coffee, 12 fl oz",N/A,0g,2g,1g,0g,0g,5mg,0mg,15,0g,0g
"Hazelnut Coffee, 16 fl oz",N/A,0g,3g,1g,0g,0g,10mg,0mg,20,0g,0g
"Hazelnut Coffee, 20 fl oz",N/A,0g,4g,2g,0g,0g,10mg,0mg,25,0g,0g
Iced Caffe Latte,N/A,6g,16g,10g,15g,0g,140mg,25mg,160,4g,0g
Iced Caffe Mocha,N/A,13g,59g,13g,43g,2g,200mg,40mg,400,7g,0g
Iced Caramel Latte,N/A,16g,57g,13g,49g,0g,270mg,55mg,430,9g,0g
Iced Chai Tea Latte,454g,6g,49g,10g,48g,0g,130mg,25mg,290,4g,0g
"Iced Coffee, Large",N/A,0g,4g,1g,0g,0g,10mg,0mg,20,0g,0g
"Iced Coffee, Medium",N/A,0g,2g,1g,0g,0g,5mg,0mg,10,0g,0g
Kids Organic Apple Juice,255g,0g,29g,0g,26g,0g,25mg,0mg,120,0g,0g
"Light Roast Coffee, 12 fl oz",N/A,0g,2g,1g,0g,0g,5mg,0mg,15,0g,0g
"Light Roast Coffee, 16 fl oz",N/A,0g,3g,1g,0g,0g,10mg,0mg,20,0g,0g
"Light Roast Coffee, 20 fl oz",N/A,0g,4g,2g,0g,0g,10mg,0mg,25,0g,0g
"Lipton Brisk Raspberry Tea, Large",N/A,0g,52g,0g,52g,0g,115mg,0mg,200,0g,0g
"Lipton Brisk Raspberry Tea, Medium",N/A,0g,33g,0g,33g,0g,70mg,0mg,130,0g,0g
Mango Smoothie,460g,5g,50g,13g,44g,2g,50mg,15mg,290,3.5g,0g
"Mist Twist, Large",907g,0g,108g,0g,108g,0g,90mg,0mg,410,0g,0g
"Mist Twist, Medium",567g,0g,68g,0g,68g,0g,55mg,0mg,260,0g,0g
"Mountain Dew, Large",907g,0g,117g,0g,117g,0g,135mg,0mg,430,0g,0g
"Mountain Dew, Medium",567g,0g,73g,0g,73g,0g,85mg,0mg,270,0g,0g
Organic Chocolate Milk,N/A,2.5g,22g,8g,22g,0g,180mg,15mg,150,1.5g,0g
Organic White Milk,N/A,2.5g,12g,8g,12g,0g,130mg,10mg,110,1.5g,0g
"Panera Decaf Coffee, 12 fl oz",N/A,0g,2g,1g,0g,0g,5mg,0mg,10,0g,0g
"Panera Decaf Coffee, 16 fl oz",N/A,0g,2g,1g,0g,0g,10mg,0mg,15,0g,0g
"Panera Decaf Coffee, 20 fl oz",N/A,0g,3g,2g,0g,0g,10mg,0mg,20,0g,0g
"Passion Papaya Green Tea, Large",N/A,0g,48g,0g,48g,0g,15mg,0mg,200,0g,0g
"Passion Papaya Green Tea, Medium",N/A,0g,30g,0g,30g,0g,10mg,0mg,130,0g,0g
Peach & Blueberry Smoothie with Almond Milk,N/A,1g,43g,2g,39g,2g,35mg,0mg,180,0g,0g
"Pepsi, Large",907g,0g,110g,0g,110g,0g,85mg,0mg,410,0g,0g
"Pepsi, Medium",567g,0g,72g,0g,72g,0g,55mg,0mg,260,0g,0g
Premium Orange Juice,N/A,0g,37g,3g,30g,0g,0mg,0mg,160,0g,0g
"Prickly Pear Hibiscus Fresca, Large",N/A,0g,37g,2g,31g,2g,25mg,0mg,150,0g,0g
"Prickly Pear Hibiscus Fresca, Medium",N/A,0g,24g,1g,20g,1g,15mg,0mg,100,0g,0g
Purity Organic Strawberry Paradise Juice,N/A,0g,66g,0g,64g,0g,0mg,0mg,260,0g,0g
San Pellegrino Orange,N/A,0g,34g,0g,32g,0g,0mg,0mg,140,0g,0g
San Pellegrino Sparkling Water,N/A,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g
Signature Hot Chocolate,N/A,13g,85g,12g,63g,3g,250mg,40mg,510,8g,0g
Skinny Caffe Mocha,326g,1.5g,49g,10g,34g,2g,160mg,5mg,240,0.5g,0g
Spindrift Lemon Seltzer,N/A,0g,1g,0g,0g,0g,0mg,0mg,0,0g,0g
Spindrift Orange Mango,N/A,0g,3g,0g,1g,0g,0mg,0mg,10,0g,0g
Spindrift Raspberry Lime Seltzer,N/A,0g,2g,0g,2g,0g,0mg,0mg,10,0g,0g
Strawberry Banana Smoothie,N/A,3g,52g,6g,38g,4g,30mg,10mg,250,1.5g,0g
