Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Bacon, Egg & Cheese Wrap",178g,27g,42g,20g,5g,4g,1370mg,160mg,500,10g,0g
Bacon Biscuit,104g,17g,36g,10g,3g,1g,1180mg,15mg,340,10g,0g
Chicken Biscuit,134g,18g,44g,13g,2g,2g,1250mg,15mg,390,9g,0g
"Coffee, 12 oz",355g,0g,0g,0g,0g,0g,5mg,0mg,0,0g,0g
"Coffee, 16 oz",474g,0g,0g,0g,0g,0g,10mg,0mg,5,0g,0g
French Toast Sticks,128g,10g,57g,7g,13g,5g,250mg,0mg,350,1.5g,0g
Ham & Egg w/Biscuit Platter,275g,29g,50g,23g,5g,2g,1830mg,265mg,570,12g,0g
Ham & Swiss Croissant,119g,17g,29g,16g,4g,1g,910mg,70mg,340,10g,0g
"Ham, Egg & Cheese Biscuit",203g,25g,39g,21g,5g,1g,1830mg,165mg,470,12g,0g
"Ham, Egg & Cheese Croissant",169g,23g,30g,21g,5g,1g,1120mg,195mg,420,11g,0.5g
"Ham, Egg & Cheese Sourdough",200g,19g,47g,26g,6g,2g,1370mg,165mg,470,6g,0g
"Ham, Egg & Cheese Wrap",184g,22g,42g,17g,5g,4g,1280mg,160mg,440,8g,0g
Ham Biscuit,140g,16g,37g,13g,4g,1g,1420mg,30mg,340,9g,0g
Orange Juice,309g,0g,33g,2g,26g,1g,0mg,0mg,140,0g,0g
Sausage & Cheese Croissant,123g,35g,28g,15g,3g,1g,940mg,80mg,490,16g,0g
Sausage & Egg with Biscuit Platter,279g,46g,50g,22g,4g,3g,1860mg,275mg,720,18g,0g
"Sausage, Egg & Cheese Biscuit",212g,45g,39g,20g,5g,1g,1990mg,185mg,640,20g,0g
"Sausage, Egg & Cheese Croissant",178g,44g,30g,20g,5g,1g,1280mg,215mg,590,19g,0.5g
"Sausage, Egg & Cheese Sourdough",210g,39g,47g,25g,6g,2g,1530mg,185mg,640,13g,0g
"Sausage, Egg & Cheese Wrap",213g,41g,42g,20g,5g,4g,1550mg,185mg,630,15g,0g
Sausage Biscuit,144g,33g,36g,12g,3g,1g,1450mg,40mg,500,15g,0g
Sausage Gravy Biscuit,261g,28g,48g,9g,3g,1g,1770mg,20mg,480,13g,0g
"Sausage Gravy Biscuit, Double",522g,56g,96g,18g,5g,3g,3540mg,35mg,970,27g,0g
Arby's Melt,146g,12g,39g,18g,5g,2g,940mg,35mg,330,4g,0.5g
Arby-Q,182g,11g,58g,18g,23g,3g,1250mg,30mg,400,3.5g,0.5g
Ham & Swiss Melt,131g,8g,37g,18g,6g,2g,1060mg,35mg,300,3.5g,0g
"Homestyle Fries, Cheddar Cheese Sauce Adds",43g,3.5g,4g,1g,0g,0g,370mg,0mg,50,0.5g,0g
"Homestyle Fries, Kids",85g,11g,33g,3g,0g,3g,550mg,0mg,240,1.5g,0g
"Homestyle Fries, Large",213g,26g,84g,7g,0g,7g,1380mg,0mg,600,3.5g,0g
"Homestyle Fries, Medium",170g,21g,67g,5g,0g,6g,1100mg,0mg,480,3g,0g
"Homestyle Fries, Small",126g,16g,49g,4g,0g,4g,810mg,0mg,350,2g,0g
"Homestyle Fries, Spicy Three Pepper Sauce Adds",14g,1g,3g,0g,3g,0g,130mg,0mg,25,0g,0g
Super Roast Beef,210g,19g,43g,23g,11g,3g,1080mg,50mg,440,6g,1g
