Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Footlong Sausage, Egg & Cheese Flatbread",480,52.0,88,58,6,8,2940,410,1040,18.0,0.0,$3.50
"Footlong Sausage, Egg White & Cheese",462,36.0,90,60,10,8,2880,90,940,14.0,0.0,$6.00
"Footlong Sausage, Egg White & Cheese Flatbread",480,42.0,88,60,6,8,3000,90,960,14.0,0.0,$3.50
"Footlong Steak, Egg & Cheese",434,30.0,92,56,12,8,2420,390,880,12.0,0.0,$6.00
"Footlong Steak, Egg & Cheese Flatbread",450,36.0,90,56,8,8,2560,390,900,12.0,0.0,$3.50
"Footlong Steak, Egg White & Cheese",434,20.0,92,58,12,8,2500,70,800,6.0,0.0,$6.00
"Footlong Steak, Egg White & Cheese Flatbread",450,24.0,90,58,6,8,2640,70,820,6.0,0.0,$3.50
Footlong Sunrise Subway Melt,562,40.0,96,68,16,10,3620,410,1020,14.0,0.0,$6.00
Footlong Sunrise Subway Melt Flatbread,580,44.0,94,68,10,8,3760,410,1060,14.0,0.0,$7.75
Footlong Sunrise Subway Melt Flatbread with Egg White,580,34.0,94,70,10,8,3820,80,980,10.0,0.0,$3.50
Footlong Sunrise Subway Melt with Egg White,562,30.0,96,72,16,10,3700,80,940,10.0,0.0,$4.75
Cheese Flatizza,157,16.0,43,21,3,4,810,35,400,8.0,0.0,$3.50
Pepperoni Flatizza,181,26.0,44,26,4,4,1340,60,500,12.0,0.0,$3.50
Spicy Italian Flatizza,181,25.0,44,26,4,4,1290,60,500,11.0,0.0,$3.50
Veggie Flatizza,191,17.0,45,22,4,5,850,35,410,8.0,0.0,$3.50
Bacon Pizza,323,31.0,98,37,8,4,2060,70,840,12.0,0.5,$1.50
Cheese Pizza,293,23.0,97,28,7,4,1530,50,720,9.0,0.5,$3.50
Meatball Pizza,344,33.0,100,37,7,5,1840,80,860,14.0,1.0,$6.00
Pepperoni Pizza,323,33.0,97,35,8,4,1800,70,840,13.0,1.0,$3.50
Sausage Pizza,336,35.0,98,35,8,4,1870,80,860,14.0,0.5,$3.50
9-Grain Honey Oat Bread,82,2.5,43,8,6,4,280,0,230,0.5,0.0,$6.00
9-Grain Wheat Bread,78,2.0,40,8,5,4,270,0,210,0.5,0.0,$1.80
Artisan Flatbread,87,4.5,39,7,2,4,340,0,230,1.0,0.0,$3.50
Bagel,105,1.5,56,11,1,2,560,0,290,0.0,0.0,$1.10
Gluten-Free Bread,113,12.0,52,6,7,3,800,0,340,7.0,0.0,$6.00
Habanero Wrap,102,8.0,50,9,1,0,690,0,300,3.5,0.0,$1.10
Harvest Bread,82,3.0,41,10,5,4,280,0,230,0.5,0.0,$6.00
Hearty Italian Bread,75,2.5,40,7,3,2,340,0,210,0.5,0.0,$6.00
Italian Herbs & Cheese Bread,82,5.0,41,9,3,2,530,10,240,2.0,0.0,$6.00
Italian White Bread,71,2.5,38,7,3,1,340,0,200,0.5,0.0,$6.00
Jalapeno Cheese/Cheddar Bread,85,5.0,40,9,3,2,690,10,240,2.0,0.0,$2.50
Monterey Cheddar Bread,82,6.0,38,10,3,2,410,10,240,2.5,0.0,$2.50
Parmesan Oregano Bread,75,2.5,40,7,3,2,490,0,210,0.5,0.0,$1.80
Roasted Garlic Bread,82,2.5,44,8,4,2,1260,0,230,0.5,0.0,$6.00
Rye Bread,78,2.5,34,8,4,4,330,0,190,0.0,0.0,$6.00
Sourdough Bread,78,1.5,36,9,3,1,310,0,190,0.0,0.0,$6.00
Spinach Wrap,102,8.0,48,8,1,2,780,0,300,3.5,0.0,$6.00
Tomato Basil Wrap,102,8.0,49,8,1,2,730,0,300,3.5,0.0,$2.50
BBQ Pulled Pork,113,6.0,18,15,18,0,700,45,200,4.0,0.0,$0.75
BBQ Rib Patty,78,22.0,4,12,3,0,470,45,260,0.5,0.0,$6.00
Buffalo Chicken Strips,85,2.0,1,16,0,0,620,50,90,0.0,0.0,$6.00
Chicken Enchilada,85,4.0,7,12,2,1,410,0,120,0.0,0.0,$4.75
Chicken Strips,71,1.5,0,16,0,0,210,50,80,1.5,0.0,$7.50
Corned Beef,99,3.0,4,26,4,0,1070,65,150,3.0,0.0,$6.00
Egg Patty,85,7.0,3,9,0,0,410,160,120,3.0,0.0,$6.00
Egg Salad,85,23.0,1,8,1,0,170,255,250,0.0,0.0,$0.75
Egg White Patty,85,2.0,3,11,0,0,440,0,80,0.5,0.0,$6.00
Falafel,85,6.0,28,9,1,8,0,0,200,2.5,0.0,$2.50
Fish Filet,90,8.0,18,11,1,1,630,30,190,1.5,0.0,$4.50
Italian Hero Meats,85,18.0,3,14,2,0,1070,65,230,6.0,0.5,$6.00
Meatballs,139,16.0,16,13,6,3,720,40,260,0.0,1.0,$6.00
Orchard Chicken Salad,85,5.0,10,12,8,1,250,40,140,0.0,0.0,$6.00
Roast Beef,71,2.5,1,16,1,0,390,45,90,6.0,0.0,$6.00
Roasted Chicken Patty,71,2.5,2,15,1,0,330,45,90,0.5,0.0,$6.00
Rotisserie-Style Chicken,85,3.5,1,21,0,0,380,55,120,0.0,0.0,$2.50
Seafood Sensation,71,17.0,8,4,2,0,500,15,190,2.0,0.0,$6.00
Steak,71,4.0,4,15,2,0,550,40,110,1.0,0.5,$6.00
Subway Club Meats,78,2.5,2,15,1,0,560,40,90,3.0,0.0,$6.00
Teriyaki Glazed Chicken Strips,85,2.0,5,16,2,0,400,50,100,0.5,0.0,$6.00
Tuna,74,23.0,0,12,0,0,300,40,250,2.0,0.5,$6.00
Veggie Patty,85,8.0,8,13,2,3,520,0,160,2.0,0.0,$6.00
Apple Cinnamon Pecan Muffin,113,25.0,57,6,35,2,380,65,480,5.0,0.0,$4.75
Banana Bread Muffin,113,25.0,53,6,29,2,330,40,460,3.5,0.0,$0.75
Blueberry Crumb Muffin,113,17.0,60,5,34,1,410,45,410,5.0,0.0,$4.75
Brownie,86,17.0,51,5,32,1,125,30,370,6.0,0.0,$1.10
"Brownie, Gluten Free",80,16.0,48,3,34,2,170,55,350,1.5,0.0,$5.00
Chocolate Chunk Muffin,113,27.0,63,5,40,2,380,75,510,8.0,0.0,$4.25
Cinnamon Rolls,163,27.0,83,9,33,3,730,5,610,13.0,0.0,$6.00
Croissant,85,11.0,34,5,4,1,300,30,260,7.0,0.0,$1.70
Triple Berry Muffin,113,17.0,55,7,30,5,430,50,400,4.5,0.0,$4.25
Beef Chili with Beans Soup,255,22.0,20,21,6,5,800,70,360,8.0,1.5,$2.50
Black Bean Soup,255,1.0,39,12,6,15,860,0,210,0.0,0.0,$2.50
Broccoli Cheddar Soup,255,9.0,18,5,4,1,630,25,170,5.0,0.0,$2.50
Creamy Chicken & Dumplings Soup,245,4.5,20,8,3,3,740,35,150,2.0,0.0,$2.50
Creamy Chicken & Wild Rice Soup,240,11.0,16,7,3,1,820,40,190,6.0,0.5,$2.50
French Onion Soup,219,6.0,19,5,1,1,940,15,150,3.5,0.0,$6.00
Homestyle Chicken Noodle Soup,255,3.0,14,8,2,1,720,30,110,1.5,0.0,$2.50
Loaded Baked Potato with Bacon Soup,255,13.0,15,5,4,1,800,35,210,7.0,0.0,$2.50
Spicy Chicken Tortilla Soup,227,4.5,12,6,3,2,660,10,110,1.0,0.0,$6.00
Tomato Basil Soup,236,6.0,15,4,7,2,700,20,130,3.5,0.0,$2.50
