Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Cheese - 18"" Slice",194.9,14.0,51,19,3,4,820,40,410,7.0,0.0,$5.29
"Chicken-Bacon Parmesan - 18"" Slice",211.5,20.0,49,22,2,3,830,50,460,8.0,0.0,$16.49
"Four Pepper Pepperoni - 18"" Slice",216.1,13.0,51,17,4,4,1160,35,390,6.0,0.0,$15.49
"Hawaiian Chicken - 18"" Slice",222.5,11.0,54,19,6,4,850,40,390,5.0,0.0,$15.49
"Italian Sausage - 18"" Slice",198.6,18.0,51,19,3,4,890,45,440,8.0,0.0,$15.49
"Meat Lover's® - 18"" Slice",217.2,24.0,51,22,3,4,1100,55,500,10.0,0.0,$15.49
"Pepperoni - 18"" Slice",182.1,14.0,50,17,3,4,800,35,390,6.0,0.0,$15.49
"Pepperoni Lover's® - 18"" Slice",208.7,20.0,51,22,3,4,980,55,470,10.0,0.5,$15.49
"Supreme - 18"" Slice",231.7,17.0,52,19,4,4,860,40,430,7.0,0.0,$15.49
"Triple Meat Italiano - 18"" Slice",197.7,17.0,50,19,3,4,940,45,430,8.0,0.0,$15.49
"Ultimate Cheese Lover's® - 18"" Slice",193.6,21.0,49,21,2,3,820,50,470,9.0,0.0,$15.49
"Veggie Lover's® - 18"" Slice",245.3,12.0,54,17,4,5,800,30,390,5.0,0.0,$15.49
Backyard BBQ Chicken - Big New Yorker Slice,164.9,10.0,55,17,8,3,630,30,380,4.5,0.0,$15.49
Buffalo Chicken - Big New Yorker Slice,165.2,9.0,52,16,2,3,890,30,350,4.0,0.0,$16.49
Cheese - Big New Yorker Slice,162.5,11.0,48,16,3,3,590,30,350,5.0,0.0,$11.99
Chicken-Bacon Parmesan - Big New Yorker Slice,171.8,14.0,47,18,2,3,640,35,380,6.0,0.0,$16.99
Garden Chicken - Big New Yorker Slice,87.5,7.0,7,9,2,2,370,30,120,3.5,0.0,$16.49
Garden Fresh - Big New Yorker Slice,83.5,6.0,7,6,2,2,310,20,110,3.5,0.0,$12.49
Hawaiian Chicken - Big New Yorker Slice,184.4,9.0,50,17,3,3,710,30,350,4.0,0.0,$12.49
Meat Lover's® - Big New Yorker Slice,190.3,21.0,48,20,2,3,960,50,460,8.0,0.0,$15.49
Pepperoni - Big New Yorker Slice,158.9,13.0,47,15,2,3,630,30,370,6.0,0.0,$15.49
Pepperoni Lover's® - Big New Yorker Slice,179.6,18.0,48,19,2,4,840,50,440,8.0,0.0,$15.49
Supreme - Big New Yorker Slice,188.3,15.0,49,16,3,4,730,35,390,6.0,0.0,$15.49
Ultimate Cheese Lover's® - Big New Yorker Slice,157.9,14.0,47,17,1,3,620,35,380,6.0,0.0,$15.49
Veggie Lover's® - Big New Yorker Slice,186.9,9.0,50,14,3,4,610,20,330,4.0,0.0,$15.49
American Chicken Club *Local Specialty* - Personal Pan Pizza® Slice,80.3,9.0,18,8,2,1,340,20,180,2.5,0.0,$16.49
Bacon Cheeseburger (w/ cheddar cheese) - Personal Pan Pizza® Slice,77.6,11.0,17,8,2,1,450,20,200,4.5,0.0,$12.49
Badger Special *Local Specialty* - Personal Pan Pizza® Slice,74.0,8.0,18,7,2,1,350,15,170,3.0,0.0,$16.49
BBQ Beef - Personal Pan Pizza® Slice,71.9,7.0,19,7,3,1,340,15,160,2.5,0.0,$15.49
BBQ Chicken *Local Specialty* - Personal Pan Pizza® Slice,80.6,5.0,25,8,8,1,380,20,180,2.0,0.0,$16.49
