Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Ultimate Cheese Lover's® - Rectangle Slice,103.5g,12g,28g,11g,1g,2g,480mg,25mg,260,5g,0g
Veggie Lover's® - Rectangle Slice,117.1g,8g,30g,9g,2g,2g,440mg,15mg,220,3g,0g
"Backyard BBQ Chicken - 18"" Slice",185.4g,13g,57g,19g,9g,3g,720mg,40mg,420,6g,0g
"Buffalo Chicken - 18"" Slice",186.7g,11g,54g,18g,3g,3g,1030mg,35mg,380,5g,0g
"Cheese & Mushroom - 18"" Slice",205.3g,10g,51g,17g,3g,4g,710mg,30mg,360,5g,0g
"Cheese - 18"" Slice",194.9g,14g,51g,19g,3g,4g,820mg,40mg,410,7g,0g
"Chicken-Bacon Parmesan - 18"" Slice",211.5g,20g,49g,22g,2g,3g,830mg,50mg,460,8g,0g
"Four Pepper Pepperoni - 18"" Slice",216.1g,13g,51g,17g,4g,4g,1160mg,35mg,390,6g,0g
"Hawaiian Chicken - 18"" Slice",222.5g,11g,54g,19g,6g,4g,850mg,40mg,390,5g,0g
"Italian Sausage - 18"" Slice",198.6g,18g,51g,19g,3g,4g,890mg,45mg,440,8g,0g
"Meat Lover's® - 18"" Slice",217.2g,24g,51g,22g,3g,4g,1100mg,55mg,500,10g,0g
"Pepperoni - 18"" Slice",182.1g,14g,50g,17g,3g,4g,800mg,35mg,390,6g,0g
"Pepperoni Lover's® - 18"" Slice",208.7g,20g,51g,22g,3g,4g,980mg,55mg,470,10g,0.5g
"Supreme - 18"" Slice",231.7g,17g,52g,19g,4g,4g,860mg,40mg,430,7g,0g
"Triple Meat Italiano - 18"" Slice",197.7g,17g,50g,19g,3g,4g,940mg,45mg,430,8g,0g
"Ultimate Cheese Lover's® - 18"" Slice",193.6g,21g,49g,21g,2g,3g,820mg,50mg,470,9g,0g
